date,barack obama
2017-05-24,5.046382189239332
2017-05-25,5.837971552257267
2017-05-26,5.046382189239332
2017-05-27,4.35374149659864
2017-05-28,3.9579468150896724
2017-05-29,3.661100803957947
2017-05-30,3.3642547928262214
2017-05-31,3.760049474335189
2017-06-01,4.551638837353123
2017-06-02,4.35374149659864
2017-06-03,3.166357452071738
