date,trump intelligence
2017-03-10,2.8485804416403786
2017-03-11,2.444006309148265
2017-03-12,1.809148264984227
2017-03-13,3.253154574132492
2017-03-14,3.253154574132492
2017-03-15,4.292586750788644
2017-03-16,3.753154574132492
2017-03-17,8.585173501577287
2017-03-18,13.647476340694006
2017-03-19,3.4834384858044163
2017-03-20,10.624605678233438
2017-03-21,5.332018927444794
2017-03-22,8.180599369085172
2017-03-23,8.045741324921135
2017-03-24,4.0228706624605675
2017-03-25,3.618296529968454
2017-03-26,3.2137223974763405
2017-03-27,1.9440063091482649
2017-03-28,4.792586750788644
2017-03-29,9.759463722397477
2017-03-30,15.321766561514195
2017-03-31,6.236593059936908
2017-04-01,3.618296529968454
2017-04-02,2.1577287066246056
2017-04-03,2.4274447949526814
2017-04-04,2.1577287066246056
2017-04-05,2.4274447949526814
2017-04-06,2.9668769716088326
2017-04-07,2.4274447949526814
2017-04-08,1.0788643533123028
2017-04-09,1.8880126182965298
2017-04-10,1.6182965299684542
2017-04-11,1.3485804416403786
2017-04-12,1.3485804416403786
2017-04-13,3.506309148264984
2017-04-14,6.203470031545741
2017-04-15,1.6182965299684542
2017-04-16,1.8880126182965298
2017-04-17,1.6182965299684542
2017-04-18,1.3485804416403786
2017-04-19,1.0788643533123028
2017-04-20,1.8880126182965298
2017-04-21,0.8091482649842271
2017-04-22,1.0788643533123028
2017-04-23,0.2697160883280757
2017-04-24,1.0788643533123028
2017-04-25,1.6182965299684542
2017-04-26,1.0788643533123028
2017-04-27,1.3485804416403786
2017-04-28,0.8091482649842271
2017-04-29,0.2697160883280757
2017-04-30,1.0788643533123028
2017-05-01,1.6182965299684542
2017-05-02,1.3485804416403786
2017-05-03,1.0788643533123028
2017-05-04,0.5394321766561514
2017-05-05,1.6182965299684542
2017-05-06,0.5394321766561514
2017-05-07,1.0788643533123028
2017-05-08,1.0788643533123028
2017-05-09,1.3485804416403786
2017-05-10,3.7760252365930596
2017-05-11,2.9668769716088326
2017-05-12,2.9668769716088326
2017-05-13,2.9668769716088326
2017-05-14,1.8880126182965298
2017-05-15,4.5851735015772865
2017-05-16,26.97160883280757
2017-05-17,25.623028391167193
2017-05-18,5.933753943217665
2017-05-19,5.66403785488959
2017-05-20,2.9668769716088326
2017-05-21,1.8880126182965298
2017-05-22,7.552050473186119
2017-05-23,15.373817034700314
2017-05-24,4.5851735015772865
2017-05-25,5.124605678233438
2017-05-26,4.315457413249211
2017-05-27,3.7760252365930596
2017-05-28,1.6182965299684542
2017-05-29,1.6182965299684542
2017-05-30,3.2365930599369084
2017-05-31,2.697160883280757
2017-06-01,2.1577287066246056
2017-06-02,2.1577287066246056
2017-06-03,1.0788643533123028
