date,trump rally
2016-11-02,21.0
2016-11-03,21.0
2016-11-04,20.0
2016-11-05,31.0
2016-11-06,100.0
2016-11-07,52.0
2016-11-08,36.0
2016-11-09,28.0
2016-11-10,35.0
2016-11-11,23.0
2016-11-12,18.0
2016-11-13,13.0
2016-11-14,7.0
2016-11-15,6.0
2016-11-16,4.0
2016-11-17,4.0
2016-11-18,3.0
2016-11-19,4.0
2016-11-20,3.0
2016-11-21,2.0
2016-11-22,3.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,1.0
2016-11-26,1.0
2016-11-27,1.0
2016-11-28,1.0
2016-11-29,1.0
2016-11-30,2.0
2016-12-01,5.0
2016-12-02,13.0
2016-12-03,4.0
2016-12-04,2.0
2016-12-05,2.0
2016-12-06,4.0
2016-12-07,10.0
2016-12-08,3.0
2016-12-09,6.0
2016-12-10,5.0
2016-12-11,3.0
2016-12-12,1.0
2016-12-13,2.0
2016-12-14,5.0
2016-12-15,3.0
2016-12-16,6.0
2016-12-17,8.0
2016-12-18,5.0
2016-12-19,2.0
2016-12-20,2.0
2016-12-21,2.0
2016-12-22,1.0
2016-12-23,1.0
2016-12-24,1.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,1.0
2016-12-30,1.0
2016-12-31,1.0
2017-01-01,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,2.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,2.0
2017-01-12,2.0
2017-01-13,1.0
2017-01-14,2.0
2017-01-15,3.0
2017-01-16,3.0
2017-01-17,3.0
2017-01-18,4.0
2017-01-19,7.0
2017-01-20,18.0
2017-01-21,18.0
2017-01-22,11.0
2017-01-23,6.0
2017-01-24,4.0
2017-01-25,3.0
2017-01-26,3.0
2017-01-27,3.0
2017-01-28,2.0
2017-01-29,4.0
2017-01-30,4.0
2017-01-31,3.0
2017-02-01,2.0
2017-02-02,2.0
2017-02-03,2.0
2017-02-04,3.0
2017-02-05,3.0
2017-02-06,5.0
2017-02-07,4.0
2017-02-08,2.0
2017-02-09,1.0
2017-02-10,2.0
2017-02-11,2.0
2017-02-12,2.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,4.0
2017-02-16,11.0
2017-02-17,14.0
2017-02-18,52.0
2017-02-19,65.0
2017-02-20,14.0
2017-02-21,6.0
2017-02-22,4.0
2017-02-23,3.0
2017-02-24,2.0
2017-02-25,3.0
2017-02-26,3.0
2017-02-27,3.0
2017-02-28,5.0
2017-03-01,2.9516129032258065
2017-03-02,2.0161290322580645
2017-03-03,2.806451612903226
2017-03-04,13.17741935483871
2017-03-05,23.838709677419356
2017-03-06,12.806451612903226
2017-03-07,2.9516129032258065
2017-03-08,2.306451612903226
2017-03-09,1.7258064516129032
2017-03-10,2.0161290322580645
2017-03-11,1.870967741935484
2017-03-12,1.0806451612903225
2017-03-13,2.0161290322580645
2017-03-14,2.0161290322580645
2017-03-15,7.483870967741936
2017-03-16,11.306451612903226
2017-03-17,2.9516129032258065
2017-03-18,1.2903225806451613
2017-03-19,1.870967741935484
2017-03-20,5.903225806451613
2017-03-21,10.661290322580646
2017-03-22,2.306451612903226
2017-03-23,2.0161290322580645
2017-03-24,2.806451612903226
2017-03-25,8.20967741935484
2017-03-26,22.17741935483871
2017-03-27,3.241935483870968
2017-03-28,2.0161290322580645
2017-03-29,1.2258064516129032
2017-03-30,1.0806451612903225
2017-03-31,0.935483870967742
2017-04-01,0.935483870967742
2017-04-02,1.4516129032258065
2017-04-03,2.032258064516129
2017-04-04,1.4516129032258065
2017-04-05,0.870967741935484
2017-04-06,0.870967741935484
2017-04-07,0.2903225806451613
2017-04-08,0.870967741935484
2017-04-09,0.5806451612903226
2017-04-10,0.5806451612903226
2017-04-11,0.5806451612903226
2017-04-12,0.2903225806451613
2017-04-13,0.5806451612903226
2017-04-14,0.5806451612903226
2017-04-15,2.903225806451613
2017-04-16,3.774193548387097
2017-04-17,1.741935483870968
2017-04-18,1.741935483870968
2017-04-19,1.4516129032258065
2017-04-20,1.1612903225806452
2017-04-21,0.870967741935484
2017-04-22,5.225806451612904
2017-04-23,8.129032258064516
2017-04-24,2.032258064516129
2017-04-25,1.4516129032258065
2017-04-26,2.3225806451612905
2017-04-27,2.032258064516129
2017-04-28,2.3225806451612905
2017-04-29,9.870967741935484
2017-04-30,29.03225806451613
2017-05-01,6.096774193548388
2017-05-02,1.741935483870968
2017-05-03,1.1612903225806452
2017-05-04,0.5806451612903226
2017-05-05,0.870967741935484
2017-05-06,0.870967741935484
2017-05-07,0.870967741935484
2017-05-08,0.5806451612903226
2017-05-09,0.2903225806451613
2017-05-10,0.5806451612903226
2017-05-11,0.2903225806451613
2017-05-12,0.5806451612903226
2017-05-13,0.5806451612903226
2017-05-14,0.2903225806451613
2017-05-15,0.5806451612903226
2017-05-16,1.1612903225806452
2017-05-17,0.870967741935484
2017-05-18,0.5806451612903226
2017-05-19,0.5806451612903226
2017-05-20,0.870967741935484
2017-05-21,0.870967741935484
2017-05-22,0.5806451612903226
2017-05-23,0.2903225806451613
2017-05-24,0.870967741935484
2017-05-25,0.870967741935484
2017-05-26,0.5806451612903226
2017-05-27,1.4516129032258065
2017-05-28,1.1612903225806452
2017-05-29,0.2903225806451613
2017-05-30,1.1612903225806452
2017-05-31,1.4516129032258065
2017-06-01,0.870967741935484
2017-06-02,1.1612903225806452
2017-06-03,4.064516129032258
