date,tax returns
2016-10-27,3.558948908824839
2016-10-28,2.982312146083858
2016-10-29,2.535025768276389
2016-10-30,2.137303556658395
2016-10-31,4.095692562193803
2016-11-01,3.25068397276834
2016-11-02,3.8974358974358974
2016-11-03,2.923076923076923
2016-11-04,2.923076923076923
2016-11-05,1.9487179487179487
2016-11-06,1.9487179487179487
2016-11-07,2.923076923076923
2016-11-08,3.8974358974358974
2016-11-09,5.846153846153846
2016-11-10,4.871794871794871
2016-11-11,3.8974358974358974
2016-11-12,2.923076923076923
2016-11-13,2.923076923076923
2016-11-14,3.8974358974358974
2016-11-15,3.8974358974358974
2016-11-16,2.923076923076923
2016-11-17,2.923076923076923
2016-11-18,2.923076923076923
2016-11-19,1.9487179487179487
2016-11-20,1.9487179487179487
2016-11-21,2.923076923076923
2016-11-22,3.8974358974358974
2016-11-23,2.923076923076923
2016-11-24,1.9487179487179487
2016-11-25,1.9487179487179487
2016-11-26,1.9487179487179487
2016-11-27,1.9487179487179487
2016-11-28,2.923076923076923
2016-11-29,2.923076923076923
2016-11-30,2.923076923076923
2016-12-01,2.923076923076923
2016-12-02,2.923076923076923
2016-12-03,1.9487179487179487
2016-12-04,1.9487179487179487
2016-12-05,2.923076923076923
2016-12-06,2.923076923076923
2016-12-07,2.923076923076923
2016-12-08,2.923076923076923
2016-12-09,2.923076923076923
2016-12-10,1.9487179487179487
2016-12-11,1.9487179487179487
2016-12-12,2.923076923076923
2016-12-13,2.923076923076923
2016-12-14,2.923076923076923
2016-12-15,2.923076923076923
2016-12-16,2.923076923076923
2016-12-17,1.9487179487179487
2016-12-18,1.9487179487179487
2016-12-19,2.923076923076923
2016-12-20,2.923076923076923
2016-12-21,2.923076923076923
2016-12-22,1.9487179487179487
2016-12-23,2.923076923076923
2016-12-24,1.9487179487179487
2016-12-25,0.9743589743589743
2016-12-26,1.9487179487179487
2016-12-27,2.923076923076923
2016-12-28,3.8974358974358974
2016-12-29,3.8974358974358974
2016-12-30,3.8974358974358974
2016-12-31,2.923076923076923
2017-01-01,2.923076923076923
2017-01-02,4.871794871794871
2017-01-03,5.846153846153846
2017-01-04,5.846153846153846
2017-01-05,5.846153846153846
2017-01-06,5.846153846153846
2017-01-07,3.8974358974358974
2017-01-08,3.8974358974358974
2017-01-09,5.846153846153846
2017-01-10,6.82051282051282
2017-01-11,9.743589743589743
2017-01-12,8.769230769230768
2017-01-13,6.82051282051282
2017-01-14,5.846153846153846
2017-01-15,5.846153846153846
2017-01-16,6.82051282051282
2017-01-17,8.769230769230768
2017-01-18,8.769230769230768
2017-01-19,8.769230769230768
2017-01-20,8.769230769230768
2017-01-21,11.692307692307692
2017-01-22,14.615384615384615
2017-01-23,21.435897435897434
2017-01-24,14.615384615384615
2017-01-25,12.666666666666666
2017-01-26,11.692307692307692
2017-01-27,10.717948717948717
2017-01-28,8.769230769230768
2017-01-29,8.769230769230768
2017-01-30,11.692307692307692
2017-01-31,12.666666666666666
2017-02-01,10.717948717948717
2017-02-02,10.717948717948717
2017-02-03,8.769230769230768
2017-02-04,8.769230769230768
2017-02-05,6.82051282051282
2017-02-06,8.769230769230768
2017-02-07,9.743589743589743
2017-02-08,8.769230769230768
2017-02-09,7.794871794871795
2017-02-10,7.794871794871795
2017-02-11,6.82051282051282
2017-02-12,7.794871794871795
2017-02-13,9.743589743589743
2017-02-14,8.769230769230768
2017-02-15,11.692307692307692
2017-02-16,10.717948717948717
2017-02-17,8.769230769230768
2017-02-18,6.82051282051282
2017-02-19,5.846153846153846
2017-02-20,7.794871794871795
2017-02-21,8.769230769230768
2017-02-22,7.794871794871795
2017-02-23,7.794871794871795
2017-02-24,5.846153846153846
2017-02-25,5.846153846153846
2017-02-26,4.871794871794871
2017-02-27,6.82051282051282
2017-02-28,8.769230769230768
2017-03-01,7.397435897435898
2017-03-02,7.397435897435898
2017-03-03,6.423076923076923
2017-03-04,5.423076923076923
2017-03-05,4.935897435897436
2017-03-06,6.910256410256411
2017-03-07,6.910256410256411
2017-03-08,6.910256410256411
2017-03-09,5.923076923076923
2017-03-10,5.923076923076923
2017-03-11,4.935897435897436
2017-03-12,4.935897435897436
2017-03-13,5.923076923076923
2017-03-14,10.358974358974358
2017-03-15,98.71794871794872
2017-03-16,19.243589743589745
2017-03-17,8.884615384615383
2017-03-18,6.910256410256411
2017-03-19,4.935897435897436
2017-03-20,6.910256410256411
2017-03-21,6.410256410256411
2017-03-22,6.423076923076923
2017-03-23,5.923076923076923
2017-03-24,4.935897435897436
2017-03-25,4.935897435897436
2017-03-26,4.935897435897436
2017-03-27,5.423076923076923
2017-03-28,5.910256410256411
2017-03-29,5.923076923076923
2017-03-30,6.410256410256411
2017-03-31,5.923076923076923
2017-04-01,4.935897435897436
2017-04-02,4.0
2017-04-03,5.0
2017-04-04,6.0
2017-04-05,6.0
2017-04-06,6.0
2017-04-07,5.0
2017-04-08,4.0
2017-04-09,4.0
2017-04-10,7.0
2017-04-11,7.0
2017-04-12,8.0
2017-04-13,8.0
2017-04-14,9.0
2017-04-15,10.0
2017-04-16,9.0
2017-04-17,14.0
2017-04-18,15.0
2017-04-19,8.0
2017-04-20,5.0
2017-04-21,4.0
2017-04-22,3.0
2017-04-23,2.0
2017-04-24,4.0
2017-04-25,5.0
2017-04-26,5.0
2017-04-27,4.0
2017-04-28,4.0
2017-04-29,3.0
2017-04-30,3.0
2017-05-01,5.0
2017-05-02,4.0
2017-05-03,4.0
2017-05-04,3.0
2017-05-05,4.0
2017-05-06,2.0
2017-05-07,2.0
2017-05-08,3.0
2017-05-09,4.0
2017-05-10,4.0
2017-05-11,5.0
2017-05-12,4.0
2017-05-13,2.0
2017-05-14,2.0
2017-05-15,3.0
2017-05-16,3.0
2017-05-17,3.0
2017-05-18,3.0
2017-05-19,3.0
2017-05-20,2.0
2017-05-21,2.0
2017-05-22,3.0
2017-05-23,3.0
2017-05-24,3.0
2017-05-25,3.0
2017-05-26,3.0
2017-05-27,2.0
2017-05-28,1.0
2017-05-29,2.0
2017-05-30,3.0
2017-05-31,3.0
2017-06-01,2.0
2017-06-02,2.0
2017-06-03,2.0
