date,taxes
2016-11-03,19.35800438596491
2016-11-04,18.733552631578945
2016-11-05,13.737938596491228
2016-11-06,12.489035087719298
2016-11-07,21.23135964912281
2016-11-08,19.982456140350877
2016-11-09,23.104714912280702
2016-11-10,23.104714912280702
2016-11-11,18.733552631578945
2016-11-12,13.737938596491228
2016-11-13,13.737938596491228
2016-11-14,21.23135964912281
2016-11-15,21.85581140350877
2016-11-16,20.606907894736842
2016-11-17,19.982456140350877
2016-11-18,18.733552631578945
2016-11-19,13.113486842105264
2016-11-20,12.489035087719298
2016-11-21,18.733552631578945
2016-11-22,18.109100877192983
2016-11-23,15.611293859649123
2016-11-24,11.240131578947368
2016-11-25,12.489035087719298
2016-11-26,13.113486842105264
2016-11-27,12.489035087719298
2016-11-28,18.733552631578945
