date,hillary collusion
2017-05-15,4.571428571428571
2017-05-16,0.0
2017-05-17,4.388571428571429
2017-05-18,18.285714285714285
2017-05-19,6.948571428571428
2017-05-20,5.3028571428571425
2017-05-21,5.3028571428571425
2017-05-22,4.571428571428571
2017-05-23,4.388571428571429
2017-05-24,6.765714285714286
2017-05-25,0.0
2017-05-26,4.937142857142857
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,4.7542857142857144
2017-05-30,4.571428571428571
2017-05-31,0.0
2017-06-01,9.142857142857142
2017-06-02,4.7542857142857144
2017-06-03,0.0
