date,podesta
2016-10-24,20.623429416112344
2016-10-25,18.053954175905396
2016-10-26,16.27790096082779
2016-10-27,17.79526977087953
2016-10-28,24.658167036215815
2016-10-29,19.588691796008867
2016-10-30,22.123429416112344
2016-10-31,22.364745011086473
2016-11-01,40.17738359201773
2016-11-02,36.0
2016-11-03,26.0
2016-11-04,77.0
2016-11-05,72.0
2016-11-06,51.0
2016-11-07,43.0
2016-11-08,39.0
2016-11-09,100.0
2016-11-10,32.0
2016-11-11,25.0
2016-11-12,18.0
2016-11-13,17.0
2016-11-14,13.0
2016-11-15,17.0
2016-11-16,15.0
2016-11-17,14.0
2016-11-18,13.0
2016-11-19,11.0
2016-11-20,12.0
2016-11-21,13.0
2016-11-22,14.0
2016-11-23,14.0
2016-11-24,11.0
2016-11-25,11.0
2016-11-26,11.0
2016-11-27,14.0
2016-11-28,17.0
2016-11-29,14.0
2016-11-30,12.0
2016-12-01,11.0
2016-12-02,9.0
2016-12-03,9.0
2016-12-04,11.0
2016-12-05,16.0
2016-12-06,14.0
2016-12-07,11.0
2016-12-08,10.0
2016-12-09,11.0
2016-12-10,12.0
2016-12-11,9.0
2016-12-12,11.0
2016-12-13,14.0
2016-12-14,14.0
2016-12-15,10.0
2016-12-16,19.0
2016-12-17,11.0
2016-12-18,16.0
2016-12-19,12.0
2016-12-20,8.0
2016-12-21,5.0
2016-12-22,5.0
2016-12-23,4.0
2016-12-24,3.0
2016-12-25,3.0
2016-12-26,5.0
2016-12-27,6.0
2016-12-28,4.0
2016-12-29,6.0
2016-12-30,10.0
2016-12-31,7.0
2017-01-01,5.0
2017-01-02,5.0
2017-01-03,6.0
2017-01-04,16.0
2017-01-05,14.0
2017-01-06,9.0
2017-01-07,10.0
2017-01-08,7.0
2017-01-09,5.0
2017-01-10,6.0
2017-01-11,15.0
2017-01-12,8.0
2017-01-13,5.0
2017-01-14,5.0
2017-01-15,5.0
2017-01-16,4.0
2017-01-17,4.0
2017-01-18,5.0
2017-01-19,6.0
2017-01-20,5.0
2017-01-21,4.0
2017-01-22,5.0
2017-01-23,4.0
2017-01-24,4.0
2017-01-25,4.0
2017-01-26,3.0
2017-01-27,3.0
2017-01-28,3.0
2017-01-29,3.0
2017-01-30,4.0
2017-01-31,3.0
2017-02-01,4.0
2017-02-02,7.0
2017-02-03,6.0
2017-02-04,5.0
2017-02-05,5.0
2017-02-06,5.0
2017-02-07,5.0
2017-02-08,6.0
2017-02-09,5.0
2017-02-10,6.0
2017-02-11,4.0
2017-02-12,5.0
2017-02-13,5.0
2017-02-14,6.0
2017-02-15,8.0
2017-02-16,10.0
2017-02-17,11.0
2017-02-18,8.0
2017-02-19,7.0
2017-02-20,7.0
2017-02-21,7.0
2017-02-22,8.0
2017-02-23,9.0
2017-02-24,8.0
2017-02-25,7.0
2017-02-26,6.0
2017-02-27,5.0
2017-02-28,5.0
2017-03-01,4.969728601252609
2017-03-02,5.786360473208072
2017-03-03,5.786360473208072
2017-03-04,5.47633959638135
2017-03-05,5.159707724425887
2017-03-06,6.039665970772442
2017-03-07,5.849686847599164
2017-03-08,6.2929714683368125
2017-03-09,5.786360473208072
2017-03-10,5.596381350034795
2017-03-11,5.033054975643703
2017-03-12,5.533054975643703
2017-03-13,4.0897703549060545
2017-03-14,3.7731384829505914
2017-03-15,3.336464857341684
2017-03-16,3.336464857341684
2017-03-17,3.2731384829505914
2017-03-18,3.083159359777314
2017-03-19,2.893180236604036
2017-03-20,6.609603340292276
2017-03-21,6.1029923451635355
2017-03-22,5.72303409881698
2017-03-23,6.039665970772442
2017-03-24,4.026443980514962
2017-03-25,6.72964509394572
2017-03-26,5.659707724425887
2017-03-27,6.2929714683368125
2017-03-28,12.832637439109256
2017-03-29,11.762700069589421
2017-03-30,6.419624217118997
2017-03-31,7.236256089074461
2017-04-01,5.469728601252609
2017-04-02,5.066109951287404
2017-04-03,5.9526791927627
2017-04-04,4.179540709812108
2017-04-05,3.2929714683368125
2017-04-06,2.9130132219902576
2017-04-07,3.546276965901183
2017-04-08,3.546276965901183
2017-04-09,3.2929714683368125
2017-04-10,3.672929714683368
2017-04-11,2.7863604732080725
2017-04-12,4.559498956158664
2017-04-13,3.799582463465553
2017-04-14,3.4196242171189977
2017-04-15,3.4196242171189977
2017-04-16,2.153096729297147
2017-04-17,2.7863604732080725
2017-04-18,4.306193458594294
2017-04-19,3.2929714683368125
2017-04-20,3.672929714683368
2017-04-21,4.432846207376478
2017-04-22,3.1663187195546274
2017-04-23,3.799582463465553
2017-04-24,3.926235212247738
2017-04-25,3.799582463465553
2017-04-26,4.559498956158664
2017-04-27,3.799582463465553
2017-04-28,3.4196242171189977
2017-04-29,4.306193458594294
2017-04-30,4.812804453723034
2017-05-01,3.926235212247738
2017-05-02,4.432846207376478
2017-05-03,7.219206680584551
2017-05-04,3.546276965901183
2017-05-05,2.9130132219902576
2017-05-06,3.546276965901183
2017-05-07,2.7863604732080725
2017-05-08,3.4196242171189977
2017-05-09,3.546276965901183
2017-05-10,4.052887961029923
2017-05-11,3.672929714683368
2017-05-12,4.432846207376478
2017-05-13,4.812804453723034
2017-05-14,3.4196242171189977
2017-05-15,3.799582463465553
2017-05-16,6.712595685455811
2017-05-17,6.0793319415448845
2017-05-18,4.432846207376478
2017-05-19,4.6861517049408485
2017-05-20,4.939457202505219
2017-05-21,5.066109951287404
2017-05-22,8.232428670842031
2017-05-23,5.826026443980515
2017-05-24,4.939457202505219
2017-05-25,4.306193458594294
2017-05-26,3.926235212247738
2017-05-27,3.4196242171189977
2017-05-28,4.179540709812108
2017-05-29,3.0396659707724423
2017-05-30,4.052887961029923
2017-05-31,3.546276965901183
2017-06-01,4.939457202505219
2017-06-02,3.4196242171189977
2017-06-03,3.2929714683368125
