date,vladimir putin russia
2016-11-02,35.404958677685954
2016-11-03,24.586776859504134
2016-11-04,21.636363636363637
2016-11-05,22.619834710743802
2016-11-06,31.47107438016529
2016-11-07,32.45454545454545
2016-11-08,23.60330578512397
2016-11-09,98.34710743801654
2016-11-10,66.87603305785125
2016-11-11,65.89256198347108
2016-11-12,36.388429752066116
2016-11-13,46.223140495867774
2016-11-14,32.45454545454545
2016-11-15,49.17355371900827
2016-11-16,27.537190082644628
2016-11-17,37.371900826446286
2016-11-18,30.487603305785125
2016-11-19,23.60330578512397
2016-11-20,19.66942148760331
2016-11-21,29.50413223140496
2016-11-22,27.537190082644628
2016-11-23,19.66942148760331
2016-11-24,8.851239669421489
2016-11-25,14.75206611570248
2016-11-26,27.537190082644628
2016-11-27,29.50413223140496
2016-11-28,21.636363636363637
