date,french election
2016-10-22,0.07267687073639409
2016-10-23,0.05866231716152788
2016-10-24,0.11602258289202425
2016-10-25,0.1045561299671337
2016-10-26,0.1746849000535521
2016-10-27,0.12239283451696342
2016-10-28,0.11602258289202425
2016-10-29,0.12748903581691476
2016-10-30,0.10200802931715802
2016-10-31,0.146627791797776
2016-11-01,0.18997350395340618
2016-11-02,0.2679425837320574
2016-11-03,0.2679425837320574
2016-11-04,0.3062200956937799
2016-11-05,0.15311004784688995
2016-11-06,0.34449760765550236
2016-11-07,0.6507177033492823
2016-11-08,1.492822966507177
2016-11-09,3.827751196172249
2016-11-10,1.263157894736842
2016-11-11,0.6889952153110047
2016-11-12,0.4593301435406698
2016-11-13,0.6889952153110047
2016-11-14,0.49760765550239233
2016-11-15,0.4593301435406698
2016-11-16,0.5741626794258373
