date,hillary clinton scam
2016-11-17,13.081395348837209
2016-11-18,13.081395348837209
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,18.313953488372093
2016-11-22,18.313953488372093
2016-11-23,25.290697674418606
2016-11-24,0.0
2016-11-25,13.081395348837209
2016-11-26,28.77906976744186
2016-11-27,28.77906976744186
2016-11-28,18.313953488372093
2016-11-29,12.209302325581396
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,25.290697674418606
2016-12-08,13.081395348837209
2016-12-09,13.081395348837209
2016-12-10,0.0
2016-12-11,29.651162790697676
2016-12-12,18.313953488372093
2016-12-13,12.209302325581396
2016-12-14,12.209302325581396
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
