date,dinner
2017-04-22,27.849160297538408
2017-04-23,27.24374376933105
2017-04-24,24.822077656501623
2017-04-25,24.822077656501623
2017-04-26,24.21666112829427
2017-04-27,23.005828071879556
2017-04-28,23.611244600086913
2017-04-29,32.0870759949899
2017-04-30,60.54165282073567
2017-05-01,36.3249916924414
2017-05-02,27.849160297538408
2017-05-03,26.638327241123694
2017-05-04,25.42749418470898
2017-05-05,26.638327241123694
2017-05-06,29.05999335395312
2017-05-07,29.05999335395312
2017-05-08,26.638327241123694
2017-05-09,25.42749418470898
2017-05-10,24.822077656501623
2017-05-11,24.822077656501623
2017-05-12,27.24374376933105
2017-05-13,27.849160297538408
2017-05-14,28.454576825745765
2017-05-15,24.822077656501623
2017-05-16,24.822077656501623
2017-05-17,24.21666112829427
2017-05-18,23.611244600086913
2017-05-19,24.822077656501623
2017-05-20,26.638327241123694
2017-05-21,27.24374376933105
2017-05-22,23.611244600086913
2017-05-23,23.005828071879556
2017-05-24,23.005828071879556
2017-05-25,23.611244600086913
2017-05-26,21.189578487257485
2017-05-27,24.21666112829427
2017-05-28,24.822077656501623
2017-05-29,22.4004115436722
2017-05-30,22.4004115436722
2017-05-31,22.4004115436722
2017-06-01,22.4004115436722
2017-06-02,22.4004115436722
2017-06-03,24.21666112829427
