date,donald trump protest
2016-11-06,2.0
2016-11-07,0.0
2016-11-08,2.0
2016-11-09,42.0
2016-11-10,100.0
2016-11-11,62.0
2016-11-12,40.0
2016-11-13,27.0
2016-11-14,18.0
2016-11-15,11.0
2016-11-16,10.0
2016-11-17,6.0
2016-11-18,5.0
2016-11-19,4.0
2016-11-20,2.0
2016-11-21,6.0
2016-11-22,5.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,1.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,1.0
2016-11-29,2.0
2016-11-30,1.0
2016-12-01,2.0
2016-12-02,2.0
2016-12-03,2.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,2.0
2016-12-08,1.0
2016-12-09,2.0
2016-12-10,1.0
2016-12-11,0.0
2016-12-12,1.0
2016-12-13,2.0
2016-12-14,1.0
2016-12-15,1.0
2016-12-16,1.0
2016-12-17,0.0
2016-12-18,2.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,0.0
2016-12-23,1.0
2016-12-24,0.0
2016-12-25,1.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,1.0
2016-12-29,0.0
2016-12-30,1.0
2016-12-31,0.0
2017-01-01,1.0
2017-01-02,0.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,2.0
2017-01-08,0.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-12,1.0
2017-01-13,1.0
2017-01-14,2.0
2017-01-15,3.0
2017-01-16,4.0
2017-01-17,3.0
2017-01-18,4.0
2017-01-19,9.0
2017-01-20,41.0
2017-01-21,39.0
2017-01-22,25.0
2017-01-23,13.0
2017-01-24,7.0
2017-01-25,5.0
2017-01-26,6.0
2017-01-27,5.0
2017-01-28,4.0
2017-01-29,15.0
2017-01-30,19.0
2017-01-31,8.0
2017-02-01,8.0
2017-02-02,6.0
2017-02-03,4.0
2017-02-04,8.0
2017-02-05,3.0
2017-02-06,3.0
2017-02-07,1.0
2017-02-08,2.0
2017-02-09,2.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,4.0
2017-02-16,7.0
2017-02-17,6.0
2017-02-18,2.0
2017-02-19,3.0
2017-02-20,3.0
2017-02-21,2.0
2017-02-22,2.0
2017-02-23,2.0
2017-02-24,1.0
2017-02-25,2.0
2017-02-26,2.0
2017-02-27,2.0
2017-02-28,1.0
2017-03-01,0.7769230769230769
2017-03-02,0.7769230769230769
2017-03-03,0.83986013986014
2017-03-04,0.9783216783216784
2017-03-05,0.8713286713286714
2017-03-06,0.9531468531468532
2017-03-07,1.0475524475524476
2017-03-08,0.23286713286713287
2017-03-09,0.8272727272727273
2017-03-10,0.18881118881118883
2017-03-11,0.213986013986014
2017-03-12,0.7643356643356644
2017-03-13,0.18251748251748254
2017-03-14,0.45314685314685316
2017-03-15,0.9153846153846155
2017-03-16,0.13846153846153847
2017-03-17,0.2895104895104895
2017-03-18,0.320979020979021
2017-03-19,1.034965034965035
2017-03-20,0.27692307692307694
2017-03-21,0.6384615384615384
2017-03-22,0.6825174825174826
2017-03-23,0.23286713286713287
2017-03-24,0.15104895104895105
2017-03-25,0.2202797202797203
2017-03-26,0.7706293706293706
2017-03-27,0.6825174825174826
2017-03-28,0.7769230769230769
2017-03-29,0.09440559440559441
2017-03-30,0.14475524475524476
2017-03-31,0.7454545454545455
2017-04-01,0.7769230769230769
2017-04-02,0.6671328671328671
2017-04-03,0.0
2017-04-04,0.18881118881118883
2017-04-05,0.18881118881118883
2017-04-06,0.2895104895104895
2017-04-07,0.3020979020979021
2017-04-08,0.4405594405594406
2017-04-09,0.22657342657342658
2017-04-10,0.2895104895104895
2017-04-11,0.2895104895104895
2017-04-12,0.18881118881118883
2017-04-13,0.2013986013986014
2017-04-14,0.32727272727272727
2017-04-15,0.579020979020979
2017-04-16,1.2587412587412588
2017-04-17,0.4027972027972028
2017-04-18,0.7426573426573427
2017-04-19,0.46573426573426574
2017-04-20,0.5664335664335665
2017-04-21,0.2013986013986014
2017-04-22,0.32727272727272727
2017-04-23,0.32727272727272727
2017-04-24,0.5664335664335665
2017-04-25,0.18881118881118883
2017-04-26,0.3650349650349651
2017-04-27,0.18881118881118883
2017-04-28,0.2013986013986014
2017-04-29,0.22657342657342658
2017-04-30,0.45314685314685316
2017-05-01,0.7174825174825176
2017-05-02,0.7426573426573427
2017-05-03,0.7426573426573427
2017-05-04,0.6545454545454545
2017-05-05,0.579020979020979
2017-05-06,0.22657342657342658
2017-05-07,0.4405594405594406
2017-05-08,0.37762237762237766
2017-05-09,0.18881118881118883
2017-05-10,0.5664335664335665
2017-05-11,0.18881118881118883
2017-05-12,0.2013986013986014
2017-05-13,0.32727272727272727
2017-05-14,0.0
2017-05-15,0.4783216783216784
2017-05-16,0.18881118881118883
2017-05-17,0.5664335664335665
2017-05-18,0.2895104895104895
2017-05-19,0.49090909090909096
2017-05-20,0.22657342657342658
2017-05-21,0.5538461538461539
2017-05-22,0.18881118881118883
2017-05-23,0.46573426573426574
2017-05-24,0.37762237762237766
2017-05-25,0.5916083916083916
2017-05-26,0.4153846153846154
2017-05-27,0.22657342657342658
2017-05-28,0.6923076923076924
2017-05-29,0.2013986013986014
2017-05-30,0.579020979020979
2017-05-31,0.37762237762237766
2017-06-01,0.6797202797202798
2017-06-02,0.6041958041958042
2017-06-03,0.45314685314685316
