date,putin conference
2017-01-27,9.0
2017-01-28,10.0
2017-01-29,7.0
2017-01-30,3.0
2017-01-31,6.0
2017-02-01,3.0
2017-02-02,6.0
2017-02-03,5.0
2017-02-04,0.0
2017-02-05,13.0
2017-02-06,3.0
2017-02-07,3.0
2017-02-08,4.0
2017-02-09,3.0
2017-02-10,3.0
2017-02-11,10.0
2017-02-12,0.0
2017-02-13,3.0
2017-02-14,4.0
2017-02-15,4.0
2017-02-16,9.0
2017-02-17,15.0
2017-02-18,10.0
2017-02-19,5.0
2017-02-20,0.0
2017-02-21,6.0
2017-02-22,9.0
2017-02-23,0.0
2017-02-24,5.0
2017-02-25,7.0
2017-02-26,3.0
2017-02-27,3.0
2017-02-28,0.0
2017-03-01,4.05
2017-03-02,5.05
2017-03-03,3.55
2017-03-04,1.5
2017-03-05,1.5
2017-03-06,1.5
2017-03-07,0.0
2017-03-08,3.55
2017-03-09,1.5
2017-03-10,1.5
2017-03-11,3.7777777777777777
2017-03-12,0.0
2017-03-13,3.55
2017-03-14,2.05
2017-03-15,5.05
2017-03-16,1.5
2017-03-17,1.5
2017-03-18,0.0
2017-03-19,3.5
2017-03-20,0.0
2017-03-21,3.55
2017-03-22,6.872222222222222
2017-03-23,2.05
2017-03-24,2.05
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,5.372222222222222
2017-03-28,3.55
2017-03-29,5.6
2017-03-30,0.0
2017-03-31,3.55
2017-04-01,4.777777777777778
2017-04-02,0.0
2017-04-03,4.1
2017-04-04,4.1
2017-04-05,8.2
2017-04-06,4.1
2017-04-07,8.655555555555555
2017-04-08,5.011111111111111
2017-04-09,5.011111111111111
2017-04-10,8.2
2017-04-11,4.1
2017-04-12,19.133333333333333
2017-04-13,4.1
2017-04-14,0.0
2017-04-15,5.011111111111111
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,4.1
2017-04-19,4.1
2017-04-20,4.1
2017-04-21,0.0
2017-04-22,5.011111111111111
2017-04-23,9.566666666666666
2017-04-24,4.1
2017-04-25,0.0
2017-04-26,4.1
2017-04-27,4.1
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,5.011111111111111
2017-05-01,0.0
2017-05-02,8.2
2017-05-03,5.9222222222222225
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,5.011111111111111
2017-05-07,4.555555555555555
2017-05-08,0.0
2017-05-09,4.1
2017-05-10,4.1
2017-05-11,4.1
2017-05-12,4.1
2017-05-13,0.0
2017-05-14,5.011111111111111
2017-05-15,4.1
2017-05-16,4.1
2017-05-17,4.1
2017-05-18,12.299999999999999
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,8.2
2017-05-24,4.1
2017-05-25,8.655555555555555
2017-05-26,4.555555555555555
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,28.244444444444444
2017-05-30,45.55555555555556
2017-05-31,24.599999999999998
2017-06-01,10.477777777777778
2017-06-02,30.522222222222222
2017-06-03,7.288888888888889
