date,putin hand
2017-05-15,0.0
2017-05-16,22.0
2017-05-17,45.0
2017-05-18,45.0
2017-05-19,69.0
2017-05-20,0.0
2017-05-21,26.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,23.0
2017-05-26,48.0
2017-05-27,0.0
2017-05-28,28.0
2017-05-29,24.0
2017-05-30,0.0
2017-05-31,23.0
2017-06-01,0.0
2017-06-02,24.0
2017-06-03,0.0
