date,fisa
2016-11-02,12.082535885167465
2016-11-03,11.15311004784689
2016-11-04,9.294258373205741
2016-11-05,4.6471291866028706
2016-11-06,10.223684210526315
2016-11-07,14.870813397129186
2016-11-08,18.588516746411482
2016-11-09,14.870813397129186
2016-11-10,14.870813397129186
2016-11-11,13.011961722488039
2016-11-12,5.576555023923445
2016-11-13,12.082535885167465
2016-11-14,15.80023923444976
2016-11-15,14.870813397129186
2016-11-16,13.011961722488039
2016-11-17,15.80023923444976
2016-11-18,12.082535885167465
2016-11-19,6.505980861244019
2016-11-20,9.294258373205741
2016-11-21,14.870813397129186
2016-11-22,13.941387559808613
2016-11-23,13.941387559808613
2016-11-24,11.15311004784689
2016-11-25,11.15311004784689
2016-11-26,6.505980861244019
2016-11-27,10.223684210526315
