date,mike flynn
2016-10-26,0.7222222222222222
2016-10-27,0.05555555555555555
2016-10-28,0.1111111111111111
2016-10-29,0.05555555555555555
2016-10-30,0.6666666666666666
2016-10-31,0.7777777777777778
2016-11-01,0.2222222222222222
2016-11-02,1.0
2016-11-03,1.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,1.0
2016-11-08,1.0
2016-11-09,8.0
2016-11-10,4.0
2016-11-11,3.0
2016-11-12,3.0
2016-11-13,2.0
2016-11-14,1.0
2016-11-15,1.0
2016-11-16,2.0
2016-11-17,5.0
2016-11-18,40.0
2016-11-19,19.0
2016-11-20,7.0
2016-11-21,6.0
2016-11-22,4.0
2016-11-23,3.0
2016-11-24,2.0
2016-11-25,1.0
2016-11-26,2.0
2016-11-27,1.0
2016-11-28,1.0
