date,chaffetz
2016-10-28,15.614285714285714
2016-10-29,8.771428571428572
2016-10-30,5.9714285714285715
2016-10-31,5.785714285714286
2016-11-01,3.1714285714285717
2016-11-02,4.0
2016-11-03,8.0
2016-11-04,8.0
2016-11-05,4.0
2016-11-06,9.0
2016-11-07,7.0
2016-11-08,4.0
2016-11-09,3.0
2016-11-10,2.0
2016-11-11,1.0
2016-11-12,1.0
2016-11-13,2.0
2016-11-14,2.0
2016-11-15,2.0
2016-11-16,2.0
2016-11-17,1.0
2016-11-18,2.0
2016-11-19,1.0
2016-11-20,1.0
2016-11-21,2.0
2016-11-22,2.0
2016-11-23,1.0
2016-11-24,0.0
2016-11-25,1.0
2016-11-26,1.0
2016-11-27,1.0
2016-11-28,1.0
2016-11-29,4.0
2016-11-30,3.0
2016-12-01,1.0
