date,crooked
2016-12-27,38.24151696606786
2016-12-28,51.54291417165668
2016-12-29,44.89221556886228
2016-12-30,44.89221556886228
2016-12-31,40.73552894211577
2017-01-01,43.22954091816367
2017-01-02,38.24151696606786
2017-01-03,35.74750499001996
2017-01-04,38.24151696606786
2017-01-05,37.41017964071856
2017-01-06,42.39820359281437
2017-01-07,39.90419161676647
2017-01-08,41.566866267465066
2017-01-09,50.71157684630739
2017-01-10,45.72355289421158
2017-01-11,43.22954091816367
2017-01-12,43.22954091816367
2017-01-13,44.89221556886228
2017-01-14,45.72355289421158
2017-01-15,42.39820359281437
2017-01-16,41.566866267465066
2017-01-17,38.24151696606786
2017-01-18,40.73552894211577
2017-01-19,39.072854291417165
2017-01-20,44.060878243512974
2017-01-21,44.89221556886228
2017-01-22,43.22954091816367
2017-01-23,42.39820359281437
2017-01-24,40.73552894211577
2017-01-25,39.072854291417165
2017-01-26,40.73552894211577
2017-01-27,38.24151696606786
2017-01-28,48.21756487025948
2017-01-29,40.73552894211577
2017-01-30,40.73552894211577
2017-01-31,43.22954091816367
2017-02-01,39.90419161676647
2017-02-02,40.73552894211577
2017-02-03,42.39820359281437
2017-02-04,48.21756487025948
2017-02-05,45.72355289421158
2017-02-06,34.08483033932136
2017-02-07,37.41017964071856
2017-02-08,39.90419161676647
2017-02-09,45.72355289421158
2017-02-10,44.060878243512974
2017-02-11,46.554890219560875
2017-02-12,44.89221556886228
2017-02-13,42.39820359281437
2017-02-14,47.38622754491018
2017-02-15,53.20558882235529
2017-02-16,43.22954091816367
2017-02-17,52.374251497005986
2017-02-18,50.71157684630739
2017-02-19,54.868263473053894
2017-02-20,45.72355289421158
2017-02-21,44.060878243512974
2017-02-22,44.060878243512974
2017-02-23,44.060878243512974
2017-02-24,45.72355289421158
2017-02-25,49.04890219560878
2017-02-26,49.880239520958085
2017-02-27,41.566866267465066
2017-02-28,39.90419161676647
2017-03-01,44.76436769458337
2017-03-02,43.38641547818447
2017-03-03,48.78097610193501
2017-03-04,48.64089788254014
2017-03-05,50.429952766103725
2017-03-06,42.27948770955538
2017-03-07,41.73287281850578
2017-03-08,42.14397548567048
2017-03-09,45.18460235276798
2017-03-10,43.38641547818447
2017-03-11,46.698066793051794
2017-03-12,48.4962536676353
2017-03-13,41.17712593643627
2017-03-14,41.31263816032118
2017-03-15,42.975312811019776
2017-03-16,38.552167732013416
2017-03-17,38.27201129322367
2017-03-18,46.29153012139706
2017-03-19,45.60027101544263
2017-03-20,40.89696949764652
2017-03-21,44.48877725130359
2017-03-22,44.904445913978236
2017-03-23,40.76145727376162
2017-03-24,44.49334324681355
2017-03-25,46.70263278856175
2017-03-26,45.18003635725802
2017-03-27,43.79751814534916
2017-03-28,38.41208951261854
2017-03-29,40.21027638720206
2017-03-30,40.76602326927157
2017-03-31,46.84271100795662
2017-04-01,47.398457890026144
2017-04-02,46.29919447100307
2017-04-03,43.543290038205264
2017-04-04,42.44092826508614
2017-04-05,42.99210915164571
2017-04-06,39.13384294572878
2017-04-07,45.19683269788395
2017-04-08,44.645651811324385
2017-04-09,44.09447092476483
2017-04-10,41.33856649196702
2017-04-11,42.44092826508614
2017-04-12,40.2362047188479
2017-04-13,45.19683269788395
2017-04-14,43.543290038205264
2017-04-15,42.99210915164571
2017-04-16,41.33856649196702
2017-04-17,40.2362047188479
2017-04-18,40.2362047188479
2017-04-19,40.787385605407465
2017-04-20,42.99210915164571
2017-04-21,44.645651811324385
2017-04-22,46.29919447100307
2017-04-23,45.19683269788395
2017-04-24,40.2362047188479
2017-04-25,40.787385605407465
2017-04-26,38.58266205916922
2017-04-27,42.44092826508614
2017-04-28,41.33856649196702
2017-04-29,40.787385605407465
2017-04-30,43.543290038205264
2017-05-01,44.645651811324385
2017-05-02,44.09447092476483
2017-05-03,39.685023832288344
2017-05-04,42.99210915164571
2017-05-05,45.19683269788395
2017-05-06,46.850375357562626
2017-05-07,44.645651811324385
2017-05-08,44.645651811324385
2017-05-09,42.44092826508614
2017-05-10,43.543290038205264
2017-05-11,39.685023832288344
2017-05-12,50.70864156347955
2017-05-13,50.15746067691999
2017-05-14,44.645651811324385
2017-05-15,41.33856649196702
2017-05-16,44.09447092476483
2017-05-17,46.850375357562626
2017-05-18,50.15746067691999
2017-05-19,54.01572688283691
2017-05-20,55.11808865595603
2017-05-21,46.29919447100307
2017-05-22,41.889747378526586
2017-05-23,43.543290038205264
2017-05-24,41.33856649196702
2017-05-25,43.543290038205264
2017-05-26,44.09447092476483
2017-05-27,47.40155624412219
2017-05-28,42.44092826508614
2017-05-29,40.787385605407465
2017-05-30,41.889747378526586
2017-05-31,39.685023832288344
2017-06-01,46.29919447100307
2017-06-02,46.29919447100307
2017-06-03,49.05509890380087
