date,bernie sanders putin
2017-04-02,7.827304550758459
2017-04-03,6.823803967327888
2017-04-04,0.0
2017-04-05,6.823803967327888
2017-04-06,0.0
2017-04-07,10.637106184364061
2017-04-08,8.028004667444574
2017-04-09,0.0
2017-04-10,6.823803967327888
2017-04-11,7.024504084014002
2017-04-12,7.024504084014002
2017-04-13,7.225204200700117
2017-04-14,7.827304550758459
2017-04-15,8.228704784130688
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,6.823803967327888
2017-04-20,6.823803967327888
2017-04-21,7.024504084014002
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,6.823803967327888
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,7.425904317386231
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,6.823803967327888
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,6.823803967327888
2017-05-11,6.823803967327888
2017-05-12,7.024504084014002
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,6.823803967327888
2017-05-18,10.235705950991832
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,6.823803967327888
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,7.425904317386231
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,10.837806301050174
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,7.024504084014002
2017-06-02,7.225204200700117
2017-06-03,0.0
