date,ted cruz
2016-12-09,0.7139107611548556
2016-12-10,0.4461942257217848
2016-12-11,0.4461942257217848
2016-12-12,0.5354330708661417
2016-12-13,0.5354330708661417
2016-12-14,0.4461942257217848
2016-12-15,0.3569553805774278
2016-12-16,0.4461942257217848
2016-12-17,0.3569553805774278
2016-12-18,0.4461942257217848
2016-12-19,0.3569553805774278
2016-12-20,0.3569553805774278
2016-12-21,0.4461942257217848
2016-12-22,0.8923884514435696
2016-12-23,0.6246719160104987
2016-12-24,0.6246719160104987
2016-12-25,0.6246719160104987
2016-12-26,0.6246719160104987
2016-12-27,0.4461942257217848
2016-12-28,0.3569553805774278
2016-12-29,0.5354330708661417
2016-12-30,0.4461942257217848
2016-12-31,0.8031496062992126
2017-01-01,0.5354330708661417
2017-01-02,0.4461942257217848
2017-01-03,0.5354330708661417
2017-01-04,0.8923884514435696
2017-01-05,0.8031496062992126
2017-01-06,0.6246719160104987
2017-01-07,0.5354330708661417
2017-01-08,0.5354330708661417
2017-01-09,0.6246719160104987
2017-01-10,1.2493438320209973
2017-01-11,1.5170603674540681
2017-01-12,1.1601049868766404
2017-01-13,0.8031496062992126
2017-01-14,0.7139107611548556
2017-01-15,0.6246719160104987
2017-01-16,0.4461942257217848
2017-01-17,0.5354330708661417
2017-01-18,0.5354330708661417
2017-01-19,0.5354330708661417
2017-01-20,0.9816272965879265
2017-01-21,0.8031496062992126
2017-01-22,0.8923884514435696
2017-01-23,0.8923884514435696
2017-01-24,0.7139107611548556
2017-01-25,4.3727034120734904
2017-01-26,2.320209973753281
2017-01-27,1.1601049868766404
2017-01-28,0.8923884514435696
2017-01-29,0.8031496062992126
2017-01-30,0.8923884514435696
2017-01-31,1.1601049868766404
2017-02-01,1.963254593175853
2017-02-02,1.1601049868766404
2017-02-03,0.8923884514435696
2017-02-04,0.7139107611548556
2017-02-05,0.6246719160104987
2017-02-06,0.6246719160104987
2017-02-07,1.695538057742782
2017-02-08,8.923884514435695
2017-02-09,3.1233595800524934
2017-02-10,1.695538057742782
2017-02-11,0.9816272965879265
2017-02-12,0.8031496062992126
2017-02-13,0.6246719160104987
2017-02-14,0.6246719160104987
2017-02-15,0.5354330708661417
2017-02-16,0.7139107611548556
2017-02-17,0.5354330708661417
2017-02-18,0.5354330708661417
2017-02-19,0.4461942257217848
2017-02-20,0.4461942257217848
2017-02-21,0.4461942257217848
2017-02-22,0.4461942257217848
2017-02-23,0.7139107611548556
2017-02-24,0.7139107611548556
2017-02-25,0.5354330708661417
2017-02-26,0.5354330708661417
2017-02-27,0.3569553805774278
2017-02-28,0.4461942257217848
2017-03-01,0.8025824102495662
2017-03-02,0.6815805863250144
2017-03-03,0.45224431691801237
2017-03-04,0.36943369366964723
2017-03-05,0.5350549401663776
2017-03-06,0.45224431691801237
2017-03-07,0.5541505405044709
2017-03-08,0.6624849859869211
2017-03-09,0.9235842341741181
2017-03-10,0.8025824102495662
2017-03-11,0.636961163752836
2017-03-12,0.45224431691801237
2017-03-13,0.4713399172561057
2017-03-14,0.5159593398282841
2017-03-15,0.4713399172561057
2017-03-16,0.43314871657991905
2017-03-17,0.45224431691801237
2017-03-18,0.36943369366964723
2017-03-19,0.5159593398282841
2017-03-20,0.6178655634147426
2017-03-21,0.7834868099114729
2017-03-22,0.6560567640909293
2017-03-23,0.7834868099114729
2017-03-24,0.636961163752836
2017-03-25,0.6560567640909293
2017-03-26,0.5159593398282841
2017-03-27,0.4713399172561057
2017-03-28,0.43314871657991905
2017-03-29,0.5159593398282841
2017-03-30,0.5159593398282841
2017-03-31,0.43314871657991905
2017-04-01,0.45224431691801237
2017-04-02,0.34372080608567995
2017-04-03,0.38191200676186665
2017-04-04,0.49648560879042664
2017-04-05,0.49648560879042664
2017-04-06,0.4201032074380533
2017-04-07,0.5346768094666133
2017-04-08,0.3055296054094933
2017-04-09,0.26733840473330667
2017-04-10,0.34372080608567995
2017-04-11,0.4201032074380533
2017-04-12,0.4201032074380533
2017-04-13,0.34372080608567995
2017-04-14,0.26733840473330667
2017-04-15,0.34372080608567995
2017-04-16,0.3055296054094933
2017-04-17,0.26733840473330667
2017-04-18,0.26733840473330667
2017-04-19,0.26733840473330667
2017-04-20,0.38191200676186665
2017-04-21,0.26733840473330667
2017-04-22,0.26733840473330667
2017-04-23,0.26733840473330667
2017-04-24,0.34372080608567995
2017-04-25,0.49648560879042664
2017-04-26,0.9165888162284799
2017-04-27,0.8402064148761066
2017-04-28,0.5728680101428
2017-04-29,0.4201032074380533
2017-04-30,0.3055296054094933
2017-05-01,0.4201032074380533
2017-05-02,0.4201032074380533
2017-05-03,0.45829440811423994
2017-05-04,0.45829440811423994
2017-05-05,0.5346768094666133
2017-05-06,0.38191200676186665
2017-05-07,0.34372080608567995
2017-05-08,1.4512656256950933
2017-05-09,3.8191200676186665
2017-05-10,1.6422216290760265
2017-05-11,0.7256328128475467
2017-05-12,0.49648560879042664
2017-05-13,0.4201032074380533
2017-05-14,0.45829440811423994
2017-05-15,0.38191200676186665
2017-05-16,0.38191200676186665
2017-05-17,0.49648560879042664
2017-05-18,0.38191200676186665
2017-05-19,0.4201032074380533
2017-05-20,0.34372080608567995
2017-05-21,0.38191200676186665
2017-05-22,0.38191200676186665
2017-05-23,0.45829440811423994
2017-05-24,0.49648560879042664
2017-05-25,0.3055296054094933
2017-05-26,0.5346768094666133
2017-05-27,0.34372080608567995
2017-05-28,0.34372080608567995
2017-05-29,0.3055296054094933
2017-05-30,0.45829440811423994
2017-05-31,0.5346768094666133
2017-06-01,0.6110592108189866
2017-06-02,0.6110592108189866
2017-06-03,0.45829440811423994
