date,hand
2016-11-03,69.96034743202416
2016-11-04,69.96034743202416
2016-11-05,69.96034743202416
2016-11-06,72.61706948640483
2016-11-07,71.73149546827794
2016-11-08,68.18919939577039
2016-11-09,61.104607250755286
2016-11-10,68.18919939577039
2016-11-11,67.3036253776435
2016-11-12,70.84592145015105
2016-11-13,72.61706948640483
2016-11-14,70.84592145015105
2016-11-15,73.50264350453172
2016-11-16,72.61706948640483
2016-11-17,71.73149546827794
2016-11-18,69.96034743202416
2016-11-19,69.96034743202416
2016-11-20,74.3882175226586
2016-11-21,71.73149546827794
2016-11-22,70.84592145015105
2016-11-23,70.84592145015105
2016-11-24,67.3036253776435
2016-11-25,64.64690332326283
2016-11-26,70.84592145015105
2016-11-27,73.50264350453172
2016-11-28,72.61706948640483
2016-11-29,69.96034743202416
