date,trump dumb
2016-10-28,4.423245614035087
2016-10-29,3.677631578947368
2016-10-30,4.457236842105263
2016-10-31,4.457236842105263
2016-11-01,3.864035087719298
2016-11-02,6.0
2016-11-03,6.0
2016-11-04,6.0
2016-11-05,5.0
2016-11-06,6.0
2016-11-07,9.0
2016-11-08,13.0
2016-11-09,100.0
2016-11-10,60.0
2016-11-11,35.0
2016-11-12,27.0
2016-11-13,14.0
2016-11-14,13.0
2016-11-15,13.0
2016-11-16,7.0
2016-11-17,9.0
2016-11-18,5.0
2016-11-19,6.0
2016-11-20,4.0
2016-11-21,3.0
2016-11-22,4.0
2016-11-23,4.0
2016-11-24,2.0
2016-11-25,2.0
2016-11-26,2.0
2016-11-27,4.0
2016-11-28,3.0
2016-11-29,4.0
2016-11-30,2.0
2016-12-01,2.0
2016-12-02,4.0
2016-12-03,4.0
2016-12-04,2.0
2016-12-05,2.0
2016-12-06,2.0
2016-12-07,2.0
2016-12-08,2.0
2016-12-09,3.0
2016-12-10,2.0
2016-12-11,2.0
2016-12-12,5.0
2016-12-13,3.0
2016-12-14,4.0
2016-12-15,1.0
2016-12-16,3.0
2016-12-17,3.0
2016-12-18,3.0
2016-12-19,3.0
2016-12-20,3.0
2016-12-21,1.0
2016-12-22,2.0
2016-12-23,1.0
2016-12-24,5.0
2016-12-25,2.0
2016-12-26,2.0
2016-12-27,2.0
2016-12-28,2.0
2016-12-29,2.0
2016-12-30,3.0
2016-12-31,2.0
2017-01-01,2.0
2017-01-02,2.0
2017-01-03,2.0
2017-01-04,2.0
2017-01-05,3.0
2017-01-06,3.0
2017-01-07,2.0
2017-01-08,3.0
2017-01-09,4.0
2017-01-10,3.0
2017-01-11,5.0
2017-01-12,4.0
2017-01-13,3.0
2017-01-14,2.0
2017-01-15,3.0
2017-01-16,3.0
2017-01-17,3.0
2017-01-18,2.0
2017-01-19,4.0
2017-01-20,13.0
2017-01-21,10.0
2017-01-22,8.0
2017-01-23,8.0
2017-01-24,5.0
2017-01-25,7.0
2017-01-26,6.0
2017-01-27,7.0
2017-01-28,6.0
2017-01-29,10.0
2017-01-30,9.0
2017-01-31,7.0
2017-02-01,7.0
2017-02-02,10.0
2017-02-03,7.0
2017-02-04,6.0
2017-02-05,6.0
2017-02-06,3.0
2017-02-07,5.0
2017-02-08,5.0
2017-02-09,4.0
2017-02-10,5.0
2017-02-11,2.0
2017-02-12,4.0
2017-02-13,6.0
2017-02-14,4.0
2017-02-15,3.0
2017-02-16,3.0
2017-02-17,5.0
2017-02-18,3.0
2017-02-19,3.0
2017-02-20,3.0
2017-02-21,5.0
2017-02-22,3.0
2017-02-23,3.0
2017-02-24,3.0
2017-02-25,3.0
2017-02-26,2.0
2017-02-27,3.0
2017-02-28,5.0
2017-03-01,4.201657458563536
2017-03-02,1.8508287292817678
2017-03-03,1.729281767955801
2017-03-04,2.685082872928177
2017-03-05,3.914364640883978
2017-03-06,4.1878453038674035
2017-03-07,1.6546961325966851
2017-03-08,2.0027624309392262
2017-03-09,2.185082872928177
2017-03-10,1.0165745856353592
2017-03-11,2.3977900552486187
2017-03-12,2.7320441988950277
2017-03-13,2.685082872928177
2017-03-14,1.8508287292817678
2017-03-15,2.5497237569060776
2017-03-16,3.8535911602209945
2017-03-17,2.74585635359116
2017-03-18,2.472375690607735
2017-03-19,2.5497237569060776
2017-03-20,1.8342541436464088
2017-03-21,1.6988950276243093
2017-03-22,2.8370165745856353
2017-03-23,1.8508287292817678
2017-03-24,3.140883977900552
2017-03-25,2.0027624309392262
2017-03-26,1.820441988950276
2017-03-27,2.185082872928177
2017-03-28,2.0331491712707184
2017-03-29,2.580110497237569
2017-03-30,2.9447513812154695
2017-03-31,2.0939226519337018
2017-04-01,0.712707182320442
2017-04-02,1.6408839779005524
2017-04-03,1.3977900552486187
2017-04-04,1.3977900552486187
2017-04-05,1.7624309392265192
2017-04-06,1.0331491712707181
2017-04-07,4.375690607734806
2017-04-08,1.6408839779005524
2017-04-09,2.0662983425414363
2017-04-10,1.0331491712707181
2017-04-11,1.7624309392265192
2017-04-12,2.1270718232044197
2017-04-13,2.917127071823204
2017-04-14,3.2209944751381214
2017-04-15,3.4033149171270716
2017-04-16,1.7016574585635358
2017-04-17,4.071823204419889
2017-04-18,0.6685082872928176
2017-04-19,0.3646408839779005
2017-04-20,2.4917127071823204
2017-04-21,3.281767955801105
2017-04-22,0.42541436464088395
2017-04-23,0.7900552486187845
2017-04-24,1.3977900552486187
2017-04-25,1.3977900552486187
2017-04-26,1.3370165745856353
2017-04-27,2.0662983425414363
2017-04-28,2.917127071823204
2017-04-29,0.0
2017-04-30,1.7016574585635358
2017-05-01,4.193370165745856
2017-05-02,2.430939226519337
2017-05-03,1.3977900552486187
2017-05-04,2.0662983425414363
2017-05-05,1.458563535911602
2017-05-06,4.071823204419889
2017-05-07,0.7900552486187845
2017-05-08,0.3646408839779005
2017-05-09,1.0331491712707181
2017-05-10,2.430939226519337
2017-05-11,2.1270718232044197
2017-05-12,2.187845303867403
2017-05-13,2.430939226519337
2017-05-14,2.430939226519337
2017-05-15,2.7955801104972373
2017-05-16,5.591160220994475
2017-05-17,5.591160220994475
2017-05-18,4.193370165745856
2017-05-19,2.187845303867403
2017-05-20,2.0662983425414363
2017-05-21,2.4917127071823204
2017-05-22,3.464088397790055
2017-05-23,3.4033149171270716
2017-05-24,3.5248618784530383
2017-05-25,3.6464088397790055
2017-05-26,1.8839779005524862
2017-05-27,2.977900552486188
2017-05-28,4.740331491712707
2017-05-29,1.458563535911602
2017-05-30,4.254143646408839
2017-05-31,5.287292817679558
2017-06-01,6.077348066298343
2017-06-02,4.071823204419889
2017-06-03,2.917127071823204
