date,jill stein
2016-07-10,3.2420726991492654
2016-07-11,2.8368136117556073
2016-07-12,18.23665893271462
2016-07-13,22.2892498066512
2016-07-14,22.2892498066512
2016-07-15,21.073472544470224
2016-07-16,14.994586233565352
2016-07-17,15.805104408352669
2016-07-18,12.157772621809745
2016-07-19,12.157772621809745
2016-07-20,12.157772621809745
2016-07-21,10.941995359628772
2016-07-22,10.941995359628772
2016-07-23,14.994586233565352
2016-07-24,16.21036349574633
2016-07-25,23.099767981438518
2016-07-26,35.25754060324826
2016-07-27,40.52590873936582
2016-07-28,31.610208816705338
2016-07-29,34.04176334106729
2016-07-30,37.68909512761021
2016-07-31,23.910286156225833
2016-08-01,22.69450889404486
2016-08-02,24.31554524361949
2016-08-03,19.85769528228925
2016-08-04,18.641918020108275
2016-08-05,20.26295436968291
2016-08-06,17.426140757927303
2016-08-07,20.66821345707657
2016-08-08,14.184068058778037
2016-08-09,10.131477184841454
2016-08-10,10.536736272235112
2016-08-11,8.105181747873164
2016-08-12,8.510440835266822
2016-08-13,6.484145398298531
2016-08-14,7.294663573085847
2016-08-15,8.91569992266048
2016-08-16,8.510440835266822
2016-08-17,10.536736272235112
2016-08-18,25.936581593194123
2016-08-19,14.184068058778037
2016-08-20,8.91569992266048
2016-08-21,10.941995359628772
2016-08-22,7.294663573085847
2016-08-23,9.726218097447797
2016-08-24,8.91569992266048
2016-08-25,6.484145398298531
2016-08-26,6.484145398298531
2016-08-27,6.484145398298531
2016-08-28,8.510440835266822
2016-08-29,7.699922660479506
2016-08-30,5.673627223511215
2016-08-31,5.268368136117556
2016-09-01,7.699922660479506
2016-09-02,6.889404485692189
2016-09-03,5.268368136117556
2016-09-04,6.484145398298531
2016-09-05,6.484145398298531
2016-09-06,8.105181747873164
2016-09-07,15.805104408352669
2016-09-08,18.641918020108275
2016-09-09,11.34725444702243
2016-09-10,10.536736272235112
2016-09-11,7.699922660479506
2016-09-12,8.105181747873164
2016-09-13,7.294663573085847
2016-09-14,8.105181747873164
2016-09-15,11.752513534416087
2016-09-16,9.726218097447797
2016-09-17,6.484145398298531
2016-09-18,6.484145398298531
2016-09-19,8.510440835266822
2016-09-20,9.320959010054137
2016-09-21,7.294663573085847
2016-09-22,7.699922660479506
2016-09-23,7.294663573085847
2016-09-24,7.294663573085847
2016-09-25,8.510440835266822
2016-09-26,13.37354988399072
2016-09-27,32.82598607888631
2016-09-28,15.805104408352669
2016-09-29,15.805104408352669
2016-09-30,13.37354988399072
2016-10-01,9.66047950502707
2016-10-02,10.768368136117555
2016-10-03,11.673627223511215
2016-10-04,10.970997679814385
2016-10-05,12.078886310904872
2016-10-06,11.376256767208044
2016-10-07,9.16047950502707
2016-10-08,10.470997679814385
2016-10-09,13.88940448569219
2016-10-10,26.96829079659706
2016-10-11,19.131477184841454
2016-10-12,16.71307037896365
2016-10-13,23.25251353441609
2016-10-14,18.32095901005414
2016-10-15,15.699922660479505
2016-10-16,14.09203402938902
2016-10-17,22.6446249033256
2016-10-18,18.82095901005414
2016-10-19,19.7262180974478
2016-10-20,26.46829079659706
2016-10-21,16.80781129156999
2016-10-22,15.199922660479505
2016-10-23,12.48414539829853
2016-10-24,16.71307037896365
2016-10-25,17.21307037896365
2016-10-26,17.51044083526682
2016-10-27,19.32095901005414
2016-10-28,17.71307037896365
2016-10-29,12.376256767208044
2016-10-30,16.105181747873164
2016-10-31,17.91569992266048
2016-11-01,22.75251353441609
2016-11-02,27.0
2016-11-03,30.0
2016-11-04,29.0
2016-11-05,21.0
2016-11-06,22.0
2016-11-07,46.0
2016-11-08,100.0
2016-11-09,95.0
2016-11-10,23.0
2016-11-11,10.0
2016-11-12,8.0
2016-11-13,7.0
2016-11-14,5.0
2016-11-15,4.0
2016-11-16,3.0
2016-11-17,3.0
2016-11-18,2.0
2016-11-19,2.0
2016-11-20,3.0
2016-11-21,2.0
2016-11-22,2.0
2016-11-23,11.0
2016-11-24,75.0
2016-11-25,72.0
2016-11-26,81.0
2016-11-27,65.0
2016-11-28,49.0
2016-11-29,50.0
2016-11-30,29.0
2016-12-01,20.0
2016-12-02,18.0
2016-12-03,13.0
2016-12-04,39.0
2016-12-05,33.0
2016-12-06,18.0
2016-12-07,14.0
2016-12-08,18.0
2016-12-09,12.0
2016-12-10,10.0
2016-12-11,8.0
2016-12-12,11.0
2016-12-13,10.0
2016-12-14,8.0
2016-12-15,4.0
2016-12-16,4.0
2016-12-17,2.0
2016-12-18,2.0
2016-12-19,3.0
2016-12-20,3.0
2016-12-21,2.0
2016-12-22,1.0
2016-12-23,2.0
2016-12-24,2.0
2016-12-25,1.0
2016-12-26,2.0
2016-12-27,2.0
2016-12-28,2.0
2016-12-29,1.0
2016-12-30,1.0
2016-12-31,2.0
2017-01-01,2.0
2017-01-02,2.0
2017-01-03,2.0
2017-01-04,2.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-10,2.0
2017-01-11,2.0
2017-01-12,2.0
2017-01-13,2.0
2017-01-14,1.0
2017-01-15,1.0
2017-01-16,1.0
2017-01-17,1.0
2017-01-18,1.0
2017-01-19,1.0
2017-01-20,2.0
2017-01-21,2.0
2017-01-22,2.0
2017-01-23,2.0
2017-01-24,2.0
2017-01-25,2.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-28,1.0
2017-01-29,1.0
2017-01-30,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,2.0
2017-02-08,3.0
2017-02-09,2.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,2.0
2017-02-15,2.0
2017-02-16,2.0
2017-02-17,2.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-21,1.0
2017-02-22,2.0
2017-02-23,1.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-26,2.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,1.1307531380753137
2017-03-02,1.0742677824267783
2017-03-03,1.0271966527196654
2017-03-04,0.9424686192468619
2017-03-05,0.8106694560669456
2017-03-06,0.8765690376569037
2017-03-07,0.8765690376569037
2017-03-08,1.0271966527196654
2017-03-09,0.7165271966527197
2017-03-10,0.9612970711297071
2017-03-11,1.055439330543933
2017-03-12,0.8671548117154813
2017-03-13,0.41422594142259417
2017-03-14,0.9142259414225942
2017-03-15,0.9142259414225942
2017-03-16,1.0177824267782427
2017-03-17,0.9612970711297071
2017-03-18,0.32008368200836823
2017-03-19,0.2824267782426778
2017-03-20,0.8859832635983264
2017-03-21,0.9424686192468619
2017-03-22,0.24476987447698745
2017-03-23,1.00836820083682
2017-03-24,0.8389121338912133
2017-03-25,0.27301255230125526
2017-03-26,1.00836820083682
2017-03-27,0.9424686192468619
2017-03-28,0.895397489539749
2017-03-29,0.8106694560669456
2017-03-30,0.9424686192468619
2017-03-31,1.1213389121338913
2017-04-01,0.895397489539749
2017-04-02,1.393305439330544
2017-04-03,0.7719665271966527
2017-04-04,0.7154811715481172
2017-04-05,0.5648535564853556
2017-04-06,0.696652719665272
2017-04-07,0.7531380753138075
2017-04-08,0.7719665271966527
2017-04-09,0.602510460251046
2017-04-10,0.7719665271966527
2017-04-11,0.6778242677824268
2017-04-12,0.7154811715481172
2017-04-13,0.602510460251046
2017-04-14,0.5083682008368201
2017-04-15,0.41422594142259417
2017-04-16,0.6401673640167365
2017-04-17,0.5271966527196653
2017-04-18,1.3556485355648535
2017-04-19,1.882845188284519
2017-04-20,0.8849372384937239
2017-04-21,1.2615062761506277
2017-04-22,0.7719665271966527
2017-04-23,0.39539748953974896
2017-04-24,0.6213389121338913
2017-04-25,0.7154811715481172
2017-04-26,0.8661087866108786
2017-04-27,0.8849372384937239
2017-04-28,1.110878661087866
2017-04-29,0.6213389121338913
2017-04-30,0.5648535564853556
2017-05-01,0.6213389121338913
2017-05-02,0.7531380753138075
2017-05-03,0.6778242677824268
2017-05-04,0.8096234309623431
2017-05-05,0.5460251046025105
