date,donald trump crime
2016-09-22,7.594646271510516
2016-09-23,6.961759082217974
2016-09-24,5.0630975143403445
2016-09-25,2.5315487571701722
2016-09-26,12.024856596558319
2016-09-27,63.28871892925431
2016-09-28,12.657743785850862
2016-09-29,8.860420650095604
2016-09-30,8.860420650095604
2016-10-01,6.297323135755258
2016-10-02,3.7657743785850863
2016-10-03,10.746653919694072
2016-10-04,9.695984703632888
2016-10-05,6.797323135755258
2016-10-06,8.031548757170173
2016-10-07,6.347992351816444
2016-10-08,8.563097514340345
2016-10-09,23.075525812619503
2016-10-10,16.094646271510516
2016-10-11,15.493307839388146
2016-10-12,11.51242829827916
2016-10-13,11.961759082217974
2016-10-14,11.746653919694072
2016-10-15,7.164435946462715
2016-10-16,9.879541108986615
2016-10-17,11.480879541108987
2016-10-18,14.145315487571702
2016-10-19,8.746653919694072
2016-10-20,24.107074569789674
2016-10-21,6.164435946462715
2016-10-22,8.164435946462715
2016-10-23,4.398661567877629
2016-10-24,9.11376673040153
2016-10-25,6.6137667304015295
2016-10-26,10.645315487571702
2016-10-27,12.695984703632888
2016-10-28,11.01242829827916
2016-10-29,5.031548757170173
2016-10-30,10.746653919694072
2016-10-31,9.746653919694072
