date,burger
2016-11-03,61.30498773507768
2016-11-04,72.79967293540474
2016-11-05,82.37857726901063
2016-11-06,77.58912510220769
2016-11-07,56.515535568274736
2016-11-08,56.515535568274736
2016-11-09,51.72608340147179
2016-11-10,63.22076860179886
2016-11-11,74.71545380212592
2016-11-12,85.2522485690924
2016-11-13,79.50490596892887
2016-11-14,62.26287816843827
2016-11-15,63.22076860179886
2016-11-16,62.26287816843827
2016-11-17,63.22076860179886
2016-11-18,71.84178250204415
2016-11-19,80.46279640228946
2016-11-20,78.54701553556828
2016-11-21,55.55764513491415
2016-11-22,58.431316434995914
2016-11-23,59.3892068683565
2016-11-24,58.431316434995914
2016-11-25,65.13654946852003
2016-11-26,75.67334423548651
2016-11-27,73.75756336876533
2016-11-28,54.59975470155356
2016-11-29,55.55764513491415
