date,hillary conference
2016-10-31,8.148101265822785
2016-11-01,6.781012658227848
2016-11-02,7.0
2016-11-03,7.0
2016-11-04,6.0
2016-11-05,7.0
2016-11-06,7.0
2016-11-07,6.0
2016-11-08,8.0
2016-11-09,100.0
2016-11-10,11.0
2016-11-11,5.0
2016-11-12,7.0
2016-11-13,3.0
2016-11-14,5.0
2016-11-15,5.0
2016-11-16,4.0
2016-11-17,7.0
2016-11-18,10.0
2016-11-19,3.0
2016-11-20,6.0
2016-11-21,2.0
2016-11-22,3.0
2016-11-23,3.0
2016-11-24,1.0
2016-11-25,1.0
2016-11-26,0.0
2016-11-27,2.0
2016-11-28,2.0
2016-11-29,3.0
2016-11-30,1.0
2016-12-01,2.0
2016-12-02,2.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,1.0
2016-12-06,3.0
2016-12-07,0.0
2016-12-08,1.0
2016-12-09,3.0
2016-12-10,4.0
2016-12-11,2.0
2016-12-12,1.0
2016-12-13,2.0
2016-12-14,1.0
2016-12-15,2.0
2016-12-16,3.0
2016-12-17,2.0
2016-12-18,1.0
2016-12-19,1.0
2016-12-20,0.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,0.0
2016-12-30,1.0
2016-12-31,1.0
2017-01-01,1.0
2017-01-02,0.0
2017-01-03,2.0
2017-01-04,1.0
2017-01-05,0.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,2.0
2017-01-09,1.0
2017-01-10,3.0
2017-01-11,10.0
2017-01-12,8.0
2017-01-13,2.0
2017-01-14,1.0
2017-01-15,2.0
2017-01-16,1.0
2017-01-17,1.0
2017-01-18,3.0
2017-01-19,2.0
2017-01-20,1.0
2017-01-21,2.0
2017-01-22,2.0
2017-01-23,3.0
2017-01-24,2.0
2017-01-25,0.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-28,3.0
2017-01-29,1.0
2017-01-30,2.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,0.0
2017-02-04,1.0
2017-02-05,0.0
2017-02-06,2.0
2017-02-07,2.0
2017-02-08,2.0
2017-02-09,2.0
2017-02-10,1.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,1.0
2017-02-14,2.0
2017-02-15,2.0
2017-02-16,8.0
2017-02-17,16.0
2017-02-18,4.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-21,2.0
2017-02-22,1.0
2017-02-23,2.0
2017-02-24,2.0
2017-02-25,0.0
2017-02-26,4.0
2017-02-27,1.0
2017-02-28,2.0
2017-03-01,0.0
2017-03-02,0.9736842105263157
2017-03-03,0.5
2017-03-04,1.026315789473684
2017-03-05,0.5263157894736842
2017-03-06,0.5
2017-03-07,0.0
2017-03-08,0.9736842105263157
2017-03-09,0.0
2017-03-10,0.9736842105263157
2017-03-11,1.026315789473684
2017-03-12,1.5526315789473684
2017-03-13,1.1842105263157894
2017-03-14,2.3684210526315788
2017-03-15,1.394736842105263
2017-03-16,0.47368421052631576
2017-03-17,0.0
2017-03-18,1.026315789473684
2017-03-19,0.0
2017-03-20,0.9736842105263157
2017-03-21,0.5
2017-03-22,0.0
2017-03-23,1.6842105263157894
2017-03-24,0.7368421052631579
2017-03-25,1.526315789473684
2017-03-26,0.5
2017-03-27,1.394736842105263
2017-03-28,2.394736842105263
2017-03-29,3.6315789473684212
2017-03-30,2.7105263157894735
2017-03-31,1.4473684210526314
2017-04-01,0.0
2017-04-02,1.6842105263157894
2017-04-03,0.9473684210526315
2017-04-04,0.9473684210526315
2017-04-05,0.9473684210526315
2017-04-06,0.9473684210526315
2017-04-07,2.9473684210526314
2017-04-08,2.2105263157894735
2017-04-09,2.2105263157894735
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,1.894736842105263
2017-04-13,2.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.9473684210526315
2017-04-18,0.9473684210526315
2017-04-19,0.9473684210526315
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,1.0526315789473684
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.9473684210526315
2017-04-26,0.9473684210526315
2017-04-27,0.9473684210526315
2017-04-28,0.0
2017-04-29,1.0526315789473684
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,1.894736842105263
2017-05-03,1.894736842105263
2017-05-04,0.9473684210526315
2017-05-05,0.0
2017-05-06,1.0526315789473684
2017-05-07,1.0526315789473684
2017-05-08,0.9473684210526315
2017-05-09,0.9473684210526315
2017-05-10,2.7368421052631575
2017-05-11,0.9473684210526315
2017-05-12,0.9473684210526315
2017-05-13,1.6842105263157894
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.9473684210526315
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,1.894736842105263
2017-05-20,1.0526315789473684
2017-05-21,0.0
2017-05-22,0.9473684210526315
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,1.0526315789473684
2017-05-27,0.0
2017-05-28,1.1578947368421053
2017-05-29,0.0
2017-05-30,0.9473684210526315
2017-05-31,7.052631578947368
2017-06-01,10.526315789473683
2017-06-02,2.9473684210526314
2017-06-03,2.2105263157894735
