date,obama protest
2016-11-11,83.0
2016-11-12,68.0
2016-11-13,41.0
2016-11-14,23.0
2016-11-15,24.0
2016-11-16,20.0
2016-11-17,14.0
2016-11-18,13.0
2016-11-19,12.0
2016-11-20,9.0
2016-11-21,7.0
2016-11-22,3.0
2016-11-23,4.0
2016-11-24,3.0
2016-11-25,1.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,1.0
2016-11-29,1.0
2016-11-30,1.0
2016-12-01,1.0
2016-12-02,1.0
2016-12-03,1.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,1.0
2016-12-08,1.0
2016-12-09,1.0
2016-12-10,1.0
2016-12-11,1.0
2016-12-12,1.0
2016-12-13,0.0
2016-12-14,1.0
2016-12-15,1.0
2016-12-16,1.0
2016-12-17,0.0
2016-12-18,1.0
2016-12-19,1.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,0.0
2016-12-30,1.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,7.0
2017-01-12,2.0
2017-01-13,1.0
2017-01-14,3.0
2017-01-15,4.0
2017-01-16,4.0
2017-01-17,3.0
2017-01-18,6.0
2017-01-19,8.0
2017-01-20,58.0
2017-01-21,68.0
2017-01-22,43.0
2017-01-23,19.0
2017-01-24,10.0
2017-01-25,7.0
2017-01-26,6.0
2017-01-27,5.0
2017-01-28,8.0
2017-01-29,16.0
2017-01-30,14.0
2017-01-31,9.0
2017-02-01,4.0
2017-02-02,7.0
2017-02-03,4.0
2017-02-04,6.0
2017-02-05,3.0
2017-02-06,2.0
2017-02-07,2.0
2017-02-08,2.0
2017-02-09,1.0
2017-02-10,2.0
2017-02-11,3.0
2017-02-12,1.0
2017-02-13,1.0
2017-02-14,3.0
2017-02-15,2.0
2017-02-16,5.0
2017-02-17,3.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,2.0
2017-02-21,3.0
2017-02-22,2.0
2017-02-23,2.0
2017-02-24,2.0
2017-02-25,2.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,3.0
2017-03-01,1.4378238341968912
2017-03-02,1.4378238341968912
2017-03-03,1.6062176165803108
2017-03-04,6.867875647668393
2017-03-05,1.9766839378238341
2017-03-06,2.010362694300518
2017-03-07,0.2694300518134715
2017-03-08,0.9378238341968912
2017-03-09,1.7409326424870466
2017-03-10,0.47150259067357514
2017-03-11,0.1683937823834197
2017-03-12,0.0
2017-03-13,0.13471502590673576
2017-03-14,1.072538860103627
2017-03-15,0.8031088082901554
2017-03-16,0.9378238341968912
2017-03-17,0.8031088082901554
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.30310880829015546
2017-03-21,0.30310880829015546
2017-03-22,0.30310880829015546
2017-03-23,0.13471502590673576
2017-03-24,0.0
2017-03-25,0.3367875647668394
2017-03-26,1.005181347150259
2017-03-27,0.0
2017-03-28,0.30310880829015546
2017-03-29,0.6347150259067358
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.6062176165803109
2017-04-04,0.2694300518134715
2017-04-05,0.6062176165803109
2017-04-06,0.2694300518134715
2017-04-07,0.6062176165803109
2017-04-08,0.6735751295336788
2017-04-09,0.3367875647668394
2017-04-10,0.6062176165803109
2017-04-11,0.0
2017-04-12,0.3367875647668394
2017-04-13,0.6062176165803109
2017-04-14,0.0
2017-04-15,0.3367875647668394
2017-04-16,1.4818652849740934
2017-04-17,0.0
2017-04-18,0.8756476683937824
2017-04-19,0.0
2017-04-20,0.9430051813471503
2017-04-21,0.9430051813471503
2017-04-22,0.3367875647668394
2017-04-23,0.3367875647668394
2017-04-24,0.6062176165803109
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.6062176165803109
2017-04-28,0.3367875647668394
2017-04-29,0.0
2017-04-30,0.3367875647668394
2017-05-01,0.0
2017-05-02,0.2694300518134715
2017-05-03,0.6062176165803109
2017-05-04,0.6062176165803109
2017-05-05,0.6062176165803109
2017-05-06,0.3367875647668394
2017-05-07,0.0
2017-05-08,0.6062176165803109
2017-05-09,0.0
2017-05-10,0.8756476683937824
2017-05-11,0.2694300518134715
2017-05-12,0.3367875647668394
2017-05-13,0.3367875647668394
2017-05-14,0.0
2017-05-15,0.2694300518134715
2017-05-16,0.6062176165803109
2017-05-17,0.6062176165803109
2017-05-18,0.6062176165803109
2017-05-19,0.3367875647668394
2017-05-20,0.0
2017-05-21,4.580310880829016
2017-05-22,4.44559585492228
2017-05-23,2.3575129533678756
2017-05-24,0.6062176165803109
2017-05-25,0.9430051813471503
2017-05-26,0.0
2017-05-27,0.3367875647668394
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.6062176165803109
2017-05-31,3.6373056994818653
2017-06-01,1.2124352331606219
2017-06-02,1.9533678756476685
2017-06-03,0.7409326424870467
