date,donald trump fool
2016-08-16,10.719851576994433
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,10.12430426716141
2016-08-24,20.24860853432282
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,10.12430426716141
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,10.12430426716141
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,11.91094619666048
2016-09-12,10.12430426716141
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,23.22634508348794
2016-09-18,11.315398886827458
2016-09-19,0.0
2016-09-20,9.528756957328385
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,19.653061224489793
2016-09-27,19.653061224489793
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,7.0
2016-10-02,12.65769944341373
2016-10-03,0.0
2016-10-04,16.76437847866419
2016-10-05,4.7643784786641925
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,37.42857142857143
2016-10-09,23.973098330241186
2016-10-10,73.77736549165121
2016-10-11,0.0
2016-10-12,6.5
2016-10-13,17.562152133580703
2016-10-14,5.062152133580705
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,6.0
2016-10-18,15.528756957328385
2016-10-19,10.764378478664192
2016-10-20,4.7643784786641925
2016-10-21,5.062152133580705
2016-10-22,0.0
2016-10-23,12.65769944341373
2016-10-24,15.826530612244897
2016-10-25,10.764378478664192
2016-10-26,4.7643784786641925
2016-10-27,0.0
2016-10-28,6.5
2016-10-29,5.657699443413729
2016-10-30,5.657699443413729
2016-10-31,0.0
2016-11-01,11.562152133580705
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,12.0
2016-11-08,12.0
2016-11-09,100.0
2016-11-10,85.0
2016-11-11,13.0
2016-11-12,0.0
2016-11-13,14.0
2016-11-14,36.0
2016-11-15,0.0
2016-11-16,12.0
2016-11-17,24.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,14.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,12.0
2016-11-29,0.0
2016-11-30,12.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,14.0
2016-12-05,12.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,12.0
2016-12-09,13.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,14.0
2016-12-19,49.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,13.0
2016-12-24,15.0
2016-12-25,16.0
2016-12-26,0.0
2016-12-27,13.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,12.0
2017-01-04,0.0
2017-01-05,12.0
2017-01-06,12.0
2017-01-07,0.0
2017-01-08,27.0
2017-01-09,0.0
2017-01-10,12.0
2017-01-11,23.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,13.0
2017-01-16,0.0
2017-01-17,12.0
2017-01-18,12.0
2017-01-19,0.0
2017-01-20,72.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,11.0
2017-01-24,34.0
2017-01-25,0.0
2017-01-26,23.0
2017-01-27,12.0
2017-01-28,14.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,23.0
2017-02-01,12.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,27.0
2017-02-05,0.0
2017-02-06,11.0
2017-02-07,0.0
2017-02-08,11.0
2017-02-09,12.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,11.0
2017-02-14,35.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,27.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,11.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,23.0
2017-02-28,12.0
2017-03-01,5.5
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,14.78968253968254
2017-03-07,9.28968253968254
2017-03-08,0.0
2017-03-09,9.28968253968254
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,11.5
2017-03-16,3.78968253968254
2017-03-17,10.042328042328043
2017-03-18,11.047619047619047
2017-03-19,4.547619047619048
2017-03-20,15.28968253968254
2017-03-21,3.78968253968254
2017-03-22,5.5
2017-03-23,7.832010582010583
2017-03-24,0.0
2017-03-25,13.321428571428573
2017-03-26,0.0
2017-03-27,3.78968253968254
2017-03-28,7.832010582010583
2017-03-29,0.0
2017-03-30,4.042328042328043
2017-03-31,4.042328042328043
2017-04-01,45.764550264550266
2017-04-02,13.642857142857144
2017-04-03,0.0
2017-04-04,8.084656084656086
2017-04-05,0.0
2017-04-06,16.16931216931217
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,9.600529100529101
2017-04-10,0.0
2017-04-11,8.084656084656086
2017-04-12,8.084656084656086
2017-04-13,8.58994708994709
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,9.600529100529101
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,8.084656084656086
2017-04-20,8.084656084656086
2017-04-21,0.0
2017-04-22,9.095238095238097
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,8.084656084656086
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,9.095238095238097
2017-04-30,9.600529100529101
2017-05-01,8.58994708994709
2017-05-02,0.0
2017-05-03,7.57936507936508
2017-05-04,8.084656084656086
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,8.084656084656086
2017-05-12,0.0
2017-05-13,9.095238095238097
2017-05-14,0.0
2017-05-15,8.084656084656086
2017-05-16,8.084656084656086
2017-05-17,8.084656084656086
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,8.084656084656086
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,29.30687830687831
2017-05-29,0.0
2017-05-30,8.084656084656086
2017-05-31,8.084656084656086
2017-06-01,0.0
2017-06-02,16.674603174603178
2017-06-03,9.600529100529101
