date,barack obama golf
2017-03-17,15.101948498838643
2017-03-18,22.69532063965437
2017-03-19,33.659595771322614
2017-03-20,14.627813781435496
2017-03-21,9.945643238799835
2017-03-22,11.994092851202938
2017-03-23,10.127142297288255
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,11.438409849071395
2017-03-27,17.257565547367115
2017-03-28,9.945643238799835
2017-03-29,4.682170542635659
2017-03-30,10.127142297288255
2017-03-31,12.942362286009235
2017-04-01,6.170967988606277
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,10.526945392328354
2017-04-06,0.0
2017-04-07,11.252941626282034
2017-04-08,0.0
2017-04-09,26.135864422332467
2017-04-10,10.889943509305194
2017-04-11,0.0
2017-04-12,11.252941626282034
2017-04-13,11.252941626282034
2017-04-14,12.704934094189394
2017-04-15,0.0
2017-04-16,13.067932211166234
2017-04-17,0.0
2017-04-18,21.41688890163355
2017-04-19,10.889943509305194
2017-04-20,21.77988701861039
2017-04-21,0.0
2017-04-22,25.046870071401948
2017-04-23,0.0
2017-04-24,10.889943509305194
2017-04-25,10.526945392328354
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,11.615939743258874
2017-05-02,0.0
2017-05-03,10.526945392328354
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,12.704934094189394
2017-05-07,18.87590208279567
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,12.704934094189394
2017-05-14,0.0
2017-05-15,10.889943509305194
2017-05-16,10.889943509305194
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,10.526945392328354
2017-05-24,0.0
2017-05-25,11.252941626282034
2017-05-26,17.78690773186515
2017-05-27,13.067932211166234
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,10.889943509305194
2017-05-31,10.889943509305194
2017-06-01,0.0
2017-06-02,11.615939743258874
2017-06-03,0.0
