date,vladimir putin speech
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,14.107573228740716
2017-05-04,14.6300759409163
2017-05-05,15.152578653091881
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,14.6300759409163
2017-05-10,14.6300759409163
2017-05-11,14.6300759409163
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,17.24258950179421
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,14.6300759409163
2017-05-18,14.6300759409163
2017-05-19,15.152578653091881
2017-05-20,0.0
2017-05-21,17.24258950179421
2017-05-22,0.0
2017-05-23,14.107573228740716
2017-05-24,0.0
2017-05-25,15.152578653091881
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,22.990119335725613
2017-06-03,52.25027121755821
