date,hillary clinton private server
2017-05-11,10.076838739992077
2017-05-12,10.382197489688807
2017-05-13,11.603632488475725
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,9.771479990295347
2017-05-17,10.076838739992077
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,12.214349987869184
2017-05-28,24.12334122604164
2017-05-29,0.0
2017-05-30,10.076838739992077
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
