date,faint
2017-03-13,30.608620365630003
2017-03-14,30.804100862555003
2017-03-15,34.08807522568353
2017-03-16,30.800508071466993
2017-03-17,32.443393450803256
2017-03-18,28.13171752781756
2017-03-19,33.89259472875853
2017-03-20,33.88540914658251
2017-03-21,33.67915027639347
2017-03-22,34.093464412315555
2017-03-23,34.49520377942959
2017-03-24,33.87822356440648
2017-03-25,28.129921132273555
2017-03-26,29.36388156231976
2017-03-27,30.590656410189943
2017-03-28,31.41209909985808
2017-03-29,33.474687801748445
2017-03-30,32.66222708980034
2017-03-31,35.10859120336468
2017-04-01,33.06755924800239
2017-04-02,27.638688605330863
2017-04-03,27.226170864952792
2017-04-04,32.17638374948966
2017-04-05,33.41393697062388
2017-04-06,31.763866009111588
2017-04-07,30.938830528355446
2017-04-08,36.30156115327039
2017-04-09,33.82645471100195
2017-04-10,33.41393697062388
2017-04-11,30.938830528355446
2017-04-12,41.25177403780726
2017-04-13,32.58890148986774
2017-04-14,28.876241826465083
2017-04-15,31.351348268733517
2017-04-16,29.288759566843154
2017-04-17,36.30156115327039
2017-04-18,33.41393697062388
2017-04-19,33.82645471100195
2017-04-20,28.46372408608701
2017-04-21,32.17638374948966
2017-04-22,32.58890148986774
2017-04-23,34.23897245138003
2017-04-24,34.23897245138003
2017-04-25,32.58890148986774
2017-04-26,31.763866009111588
2017-04-27,28.46372408608701
2017-04-28,33.41393697062388
2017-04-29,25.16358216306243
2017-04-30,30.938830528355446
2017-05-01,34.6514901917581
2017-05-02,30.938830528355446
2017-05-03,33.00141923024581
2017-05-04,35.06400793213617
2017-05-05,31.763866009111588
2017-05-06,29.288759566843154
2017-05-07,33.41393697062388
2017-05-08,31.351348268733517
2017-05-09,30.52631278797737
2017-05-10,29.288759566843154
2017-05-11,31.763866009111588
2017-05-12,33.00141923024581
2017-05-13,30.52631278797737
2017-05-14,39.60170307629497
2017-05-15,33.41393697062388
2017-05-16,35.88904341289231
2017-05-17,37.951632114782676
2017-05-18,33.82645471100195
2017-05-19,32.58890148986774
2017-05-20,31.763866009111588
2017-05-21,30.938830528355446
2017-05-22,35.88904341289231
2017-05-23,28.46372408608701
2017-05-24,29.701277307221225
2017-05-25,29.701277307221225
2017-05-26,29.701277307221225
2017-05-27,32.17638374948966
2017-05-28,36.30156115327039
2017-05-29,31.763866009111588
2017-05-30,36.71407889364846
2017-05-31,33.82645471100195
2017-06-01,29.288759566843154
2017-06-02,34.6514901917581
2017-06-03,30.1137950475993
