date,trump russia
2016-10-27,2.12012987012987
2016-10-28,1.9334415584415585
2016-10-29,1.9334415584415585
2016-10-30,2.3068181818181817
2016-10-31,9.853896103896105
2016-11-01,20.767857142857142
2016-11-02,8.0
2016-11-03,5.0
2016-11-04,5.0
2016-11-05,4.0
2016-11-06,4.0
2016-11-07,3.0
2016-11-08,5.0
2016-11-09,32.0
2016-11-10,18.0
2016-11-11,17.0
2016-11-12,8.0
2016-11-13,8.0
2016-11-14,6.0
2016-11-15,5.0
2016-11-16,4.0
2016-11-17,5.0
2016-11-18,4.0
2016-11-19,3.0
2016-11-20,3.0
2016-11-21,2.0
2016-11-22,2.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,1.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,2.0
2016-11-29,2.0
