date,hillary clinton crooked
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,7.187371606080736
2017-04-04,0.0
2017-04-05,7.040690552895415
2017-04-06,7.187371606080736
2017-04-07,0.0
2017-04-08,8.507501084748627
2017-04-09,8.654182137933947
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,7.6274147656367
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,7.187371606080736
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,7.187371606080736
2017-05-03,7.040690552895415
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,8.360820031563305
2017-05-07,0.0
2017-05-08,7.187371606080736
2017-05-09,0.0
2017-05-10,7.187371606080736
2017-05-11,7.187371606080736
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,7.187371606080736
2017-05-16,0.0
2017-05-17,7.187371606080736
2017-05-18,7.187371606080736
2017-05-19,7.480733712451379
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,7.920776872007342
2017-05-27,8.80086319111927
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,7.3340526592660575
2017-05-31,0.0
2017-06-01,14.668105318532115
2017-06-02,0.0
2017-06-03,0.0
