date,crooked hillary
2017-03-01,2.0842608239613076
2017-03-02,0.608239613076161
2017-03-03,1.6682011537789172
2017-03-04,0.6518268166190782
2017-03-05,2.7400501136297417
2017-03-06,0.608239613076161
2017-03-07,0.8677815978089854
2017-03-08,1.216479226152322
2017-03-09,1.216479226152322
2017-03-10,0.8677815978089854
2017-03-11,1.170910786084727
2017-03-12,1.0381679389312977
2017-03-13,1.0381679389312977
2017-03-14,0.9569372414194977
2017-03-15,1.216479226152322
2017-03-16,0.8677815978089854
2017-03-17,0.6300332148476195
2017-03-18,0.9113688013519026
2017-03-19,0.6518268166190782
2017-03-20,1.3868655672746342
2017-03-21,0.608239613076161
2017-03-22,0.2595419847328244
2017-03-23,1.8247188392284832
2017-03-24,3.150166074238098
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,1.216479226152322
2017-03-29,1.697919701649088
2017-03-30,2.016898782122254
2017-03-31,0.0
2017-04-01,1.087698852048249
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.6973952566866732
2017-04-05,0.6973952566866732
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,1.656313734630849
2017-04-09,1.743488141716683
2017-04-10,0.7409824602295904
2017-04-11,0.6973952566866732
2017-04-12,0.7409824602295904
2017-04-13,1.5255521240020977
2017-04-14,0.8281568673154245
2017-04-15,0.0
2017-04-16,0.8717440708583415
2017-04-17,0.7845696637725074
2017-04-18,2.09218577006002
2017-04-19,0.6973952566866732
2017-04-20,1.4383777169162635
2017-04-21,1.4819649204591807
2017-04-22,1.656313734630849
2017-04-23,2.4408833984033564
2017-04-24,0.0
2017-04-25,0.6973952566866732
2017-04-26,0.6973952566866732
2017-04-27,0.6973952566866732
2017-04-28,0.7409824602295904
2017-04-29,0.0
2017-04-30,0.8717440708583415
2017-05-01,0.7845696637725074
2017-05-02,0.6973952566866732
2017-05-03,1.3947905133733465
2017-05-04,0.6973952566866732
2017-05-05,1.4383777169162635
2017-05-06,0.8281568673154245
2017-05-07,0.0
2017-05-08,0.6973952566866732
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,2.876755433832527
2017-05-12,1.4819649204591807
2017-05-13,0.8281568673154245
2017-05-14,0.8281568673154245
2017-05-15,2.1357729736029367
2017-05-16,1.3947905133733465
2017-05-17,0.0
2017-05-18,1.4383777169162635
2017-05-19,2.9639298409183614
2017-05-20,0.0
2017-05-21,0.8281568673154245
2017-05-22,0.0
2017-05-23,0.6973952566866732
2017-05-24,0.0
2017-05-25,0.7409824602295904
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.8717440708583415
2017-05-29,2.266534584231688
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,4.358720354291708
2017-06-02,2.266534584231688
2017-06-03,0.0
