date,trump hand
2016-10-25,1.9283894136166864
2016-10-26,2.2763675718221172
2016-10-27,1.3465023612750886
2016-10-28,2.1646399055489964
2016-10-29,1.5268890200708383
2016-10-30,1.567616096025187
2016-10-31,1.4710251869342779
2016-11-01,2.1239128295946474
2016-11-02,1.7386363636363635
2016-11-03,1.9318181818181817
2016-11-04,1.5454545454545454
2016-11-05,1.7386363636363635
2016-11-06,2.5113636363636362
2016-11-07,2.7045454545454546
2016-11-08,3.6704545454545454
2016-11-09,13.909090909090908
2016-11-10,8.693181818181818
2016-11-11,9.272727272727273
2016-11-12,5.215909090909091
2016-11-13,4.056818181818182
2016-11-14,4.25
2016-11-15,3.6704545454545454
2016-11-16,3.090909090909091
2016-11-17,2.7045454545454546
2016-11-18,2.3181818181818183
2016-11-19,1.9318181818181817
