date,obama cake
2016-11-16,1.0
2016-11-17,2.0
2016-11-18,1.0
2016-11-19,1.0
2016-11-20,2.0
2016-11-21,1.0
2016-11-22,3.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,1.0
2016-11-28,2.0
2016-11-29,2.0
2016-11-30,3.0
2016-12-01,2.0
2016-12-02,2.0
2016-12-03,0.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,0.0
2016-12-08,1.0
2016-12-09,1.0
2016-12-10,0.0
2016-12-11,1.0
2016-12-12,3.0
2016-12-13,1.0
2016-12-14,3.0
2016-12-15,1.0
2016-12-16,2.0
2016-12-17,2.0
2016-12-18,2.0
2016-12-19,1.0
2016-12-20,2.0
2016-12-21,2.0
