date,redpill
2016-09-26,53.0
2016-09-27,56.0
2016-09-28,71.0
2016-09-29,49.0
2016-09-30,47.0
2016-10-01,37.79389312977099
2016-10-02,46.37786259541985
2016-10-03,43.29389312977099
2016-10-04,39.08015267175573
2016-10-05,32.88167938931298
2016-10-06,56.08015267175573
2016-10-07,43.80916030534351
2016-10-08,43.48091603053435
2016-10-09,50.04961832061069
2016-10-10,66.3206106870229
2016-10-11,47.23664122137404
2016-10-12,61.278625954198475
2016-10-13,41.767175572519086
2016-10-14,55.721374045801525
2016-10-15,29.610687022900763
2016-10-16,57.89312977099237
2016-10-17,41.69465648854962
2016-10-18,40.80916030534351
2016-10-19,55.16412213740458
2016-10-20,64.04961832061069
2016-10-21,53.278625954198475
2016-10-22,48.06488549618321
2016-10-23,62.637404580152676
2016-10-24,57.16412213740458
2016-10-25,80.47709923664122
2016-10-26,56.42366412213741
2016-10-27,59.37786259541985
2016-10-28,47.29389312977099
2016-10-29,58.835877862595424
2016-10-30,55.60687022900763
2016-10-31,43.095419847328245
2016-11-01,47.35114503816794
2016-11-02,44.274809160305345
2016-11-03,64.6412213740458
2016-11-04,27.450381679389313
2016-11-05,50.47328244274809
2016-11-06,45.16030534351145
2016-11-07,69.06870229007635
2016-11-08,35.41984732824427
2016-11-09,78.80916030534351
2016-11-10,70.83969465648855
2016-11-11,41.61832061068702
2016-11-12,68.18320610687023
2016-11-13,41.61832061068702
2016-11-14,52.24427480916031
2016-11-15,45.16030534351145
2016-11-16,54.01526717557252
2016-11-17,67.29770992366413
2016-11-18,69.06870229007635
2016-11-19,59.328244274809165
2016-11-20,60.213740458015266
2016-11-21,41.61832061068702
2016-11-22,44.274809160305345
2016-11-23,66.41221374045801
2016-11-24,37.19083969465649
2016-11-25,64.6412213740458
2016-11-26,54.01526717557252
2016-11-27,53.12977099236642
2016-11-28,42.50381679389313
2016-11-29,32.76335877862596
2016-11-30,39.84732824427481
2016-12-01,46.93129770992367
2016-12-02,48.70229007633588
2016-12-03,49.587786259541986
2016-12-04,60.213740458015266
2016-12-05,35.41984732824427
2016-12-06,52.24427480916031
2016-12-07,48.70229007633588
2016-12-08,55.786259541984734
2016-12-09,50.47328244274809
2016-12-10,67.29770992366413
2016-12-11,65.52671755725191
2016-12-12,46.93129770992367
2016-12-13,63.7557251908397
2016-12-14,58.44274809160306
2016-12-15,46.04580152671756
2016-12-16,40.73282442748092
2016-12-17,49.587786259541986
2016-12-18,41.61832061068702
2016-12-19,54.900763358778626
2016-12-20,42.50381679389313
2016-12-21,61.98473282442748
2016-12-22,66.41221374045801
2016-12-23,61.099236641221374
2016-12-24,57.55725190839695
2016-12-25,69.06870229007635
2016-12-26,54.01526717557252
2016-12-27,57.55725190839695
2016-12-28,56.67175572519084
2016-12-29,50.47328244274809
2016-12-30,61.099236641221374
2016-12-31,55.786259541984734
2017-01-01,69.06870229007635
2017-01-02,35.41984732824427
2017-01-03,56.67175572519084
2017-01-04,44.274809160305345
2017-01-05,39.84732824427481
2017-01-06,46.93129770992367
2017-01-07,57.55725190839695
2017-01-08,58.44274809160306
2017-01-09,39.84732824427481
2017-01-10,41.61832061068702
2017-01-11,56.67175572519084
2017-01-12,51.3587786259542
2017-01-13,53.12977099236642
2017-01-14,42.50381679389313
2017-01-15,61.099236641221374
2017-01-16,54.01526717557252
2017-01-17,58.44274809160306
2017-01-18,45.16030534351145
2017-01-19,61.099236641221374
2017-01-20,38.961832061068705
2017-01-21,59.328244274809165
2017-01-22,61.099236641221374
2017-01-23,48.70229007633588
2017-01-24,51.3587786259542
2017-01-25,41.61832061068702
2017-01-26,42.50381679389313
2017-01-27,43.38931297709924
2017-01-28,61.98473282442748
2017-01-29,76.1526717557252
2017-01-30,79.69465648854963
2017-01-31,63.7557251908397
2017-02-01,69.06870229007635
2017-02-02,57.55725190839695
2017-02-03,54.01526717557252
2017-02-04,44.274809160305345
2017-02-05,48.70229007633588
2017-02-06,39.84732824427481
2017-02-07,48.70229007633588
2017-02-08,59.328244274809165
2017-02-09,60.213740458015266
2017-02-10,69.95419847328245
2017-02-11,59.328244274809165
2017-02-12,77.0381679389313
2017-02-13,63.7557251908397
2017-02-14,67.29770992366413
2017-02-15,61.98473282442748
2017-02-16,61.98473282442748
2017-02-17,75.2671755725191
2017-02-18,56.67175572519084
2017-02-19,42.50381679389313
2017-02-20,56.67175572519084
2017-02-21,68.18320610687023
2017-02-22,57.55725190839695
2017-02-23,60.213740458015266
2017-02-24,64.6412213740458
2017-02-25,69.95419847328245
2017-02-26,58.44274809160306
2017-02-27,53.12977099236642
2017-02-28,71.72519083969466
2017-03-01,35.67584178476069
2017-03-02,64.77271340717112
2017-03-03,60.57938441723752
2017-03-04,44.02580431352317
2017-03-05,58.072954051601094
2017-03-06,73.8288449443957
2017-03-07,65.80455454418782
2017-03-08,68.3732361215198
2017-03-09,78.26003909059754
2017-03-10,48.511823211077925
2017-03-11,51.55252187077507
2017-03-12,76.0755676233444
2017-03-13,69.37580826777436
2017-03-14,62.471165976869514
2017-03-15,71.61510448638043
2017-03-16,65.89236151647417
2017-03-17,56.59836482298135
2017-03-18,41.72425688322154
2017-03-19,66.42291658036356
2017-03-20,51.611059852299306
2017-03-21,59.04625720709355
2017-03-22,63.56154509541043
2017-03-23,58.19374324482088
2017-03-24,60.22815652809213
2017-03-25,88.82002884720396
2017-03-26,56.24342370366465
2017-03-27,62.028417885266464
2017-03-28,58.04368506083898
2017-03-29,52.525825026267526
2017-03-30,44.26366946979141
2017-03-31,47.92273016566429
2017-04-01,51.4354459077266
2017-04-02,62.306254872202366
2017-04-03,41.53750324813491
2017-04-04,52.865913224898975
2017-04-05,69.85852819004508
2017-04-06,69.85852819004508
2017-04-07,51.921879060168635
2017-04-08,40.59346908340457
2017-04-09,71.74659651950576
2017-04-10,63.250289036932706
2017-04-11,56.642049883820334
2017-04-12,54.753981554359655
2017-04-13,54.753981554359655
2017-04-14,39.64943491867423
2017-04-15,56.642049883820334
2017-04-16,51.921879060168635
2017-04-17,56.642049883820334
2017-04-18,59.47415237801135
2017-04-19,32.09716160083152
2017-04-20,69.85852819004508
2017-04-21,47.20170823651694
2017-04-22,50.977844895438295
2017-04-23,57.58608404855067
2017-04-24,48.14574240124728
2017-04-25,61.36222070747203
2017-04-26,92.5153481435732
2017-04-27,65.13835736639338
2017-04-28,73.63466484896644
2017-04-29,62.306254872202366
2017-04-30,67.9704598605844
2017-05-01,64.19432320166304
2017-05-02,78.35483567261812
2017-05-03,63.250289036932706
2017-05-04,52.865913224898975
2017-05-05,57.58608404855067
2017-05-06,74.57869901369676
2017-05-07,46.2576740717866
2017-05-08,60.41818654274169
2017-05-09,62.306254872202366
2017-05-10,42.48153741286525
2017-05-11,77.41080150788778
2017-05-12,53.809947389629315
2017-05-13,78.35483567261812
2017-05-14,69.85852819004508
2017-05-15,68.91449402531474
2017-05-16,67.02642569585406
2017-05-17,58.53011821328101
2017-05-18,72.6906306842361
2017-05-19,53.809947389629315
2017-05-20,40.59346908340457
2017-05-21,57.58608404855067
2017-05-22,52.865913224898975
2017-05-23,50.977844895438295
2017-05-24,58.53011821328101
2017-05-25,67.02642569585406
2017-05-26,66.08239153112372
2017-05-27,56.642049883820334
2017-05-28,80.2429040020788
2017-05-29,50.977844895438295
2017-05-30,67.9704598605844
2017-05-31,66.08239153112372
2017-06-01,52.865913224898975
2017-06-02,62.306254872202366
2017-06-03,71.74659651950576
