date,trump mafia
2016-07-29,10.315018315018316
2016-07-30,19.692307692307693
2016-07-31,21.56776556776557
2016-08-01,13.128205128205128
2016-08-02,16.87912087912088
2016-08-03,6.564102564102564
2016-08-04,6.564102564102564
2016-08-05,10.315018315018316
2016-08-06,14.065934065934066
2016-08-07,14.065934065934066
2016-08-08,0.0
2016-08-09,9.377289377289378
2016-08-10,8.43956043956044
2016-08-11,8.43956043956044
2016-08-12,8.43956043956044
2016-08-13,5.626373626373626
2016-08-14,7.501831501831502
2016-08-15,14.065934065934066
2016-08-16,11.252747252747252
2016-08-17,8.43956043956044
2016-08-18,4.688644688644689
2016-08-19,10.315018315018316
2016-08-20,3.750915750915751
2016-08-21,7.501831501831502
2016-08-22,4.688644688644689
2016-08-23,13.128205128205128
2016-08-24,2.813186813186813
2016-08-25,13.128205128205128
2016-08-26,8.43956043956044
2016-08-27,9.377289377289378
2016-08-28,9.377289377289378
2016-08-29,2.813186813186813
2016-08-30,9.377289377289378
2016-08-31,2.813186813186813
2016-09-01,9.377289377289378
2016-09-02,3.750915750915751
2016-09-03,16.87912087912088
2016-09-04,18.754578754578755
2016-09-05,8.43956043956044
2016-09-06,6.564102564102564
2016-09-07,6.564102564102564
2016-09-08,8.43956043956044
2016-09-09,4.688644688644689
2016-09-10,0.0
2016-09-11,7.501831501831502
2016-09-12,4.688644688644689
2016-09-13,4.688644688644689
2016-09-14,11.252747252747252
2016-09-15,9.377289377289378
2016-09-16,2.813186813186813
2016-09-17,3.750915750915751
2016-09-18,11.252747252747252
2016-09-19,18.754578754578755
2016-09-20,2.813186813186813
2016-09-21,2.813186813186813
2016-09-22,9.377289377289378
2016-09-23,8.43956043956044
2016-09-24,3.750915750915751
2016-09-25,9.377289377289378
2016-09-26,7.501831501831502
2016-09-27,19.692307692307693
2016-09-28,12.19047619047619
2016-09-29,7.501831501831502
2016-09-30,17.816849816849818
2016-10-01,11.18864468864469
2016-10-02,16.90842490842491
2016-10-03,8.595238095238095
2016-10-04,13.095238095238095
2016-10-05,20.346153846153847
2016-10-06,13.532967032967033
2016-10-07,35.0970695970696
2016-10-08,95.88644688644689
2016-10-09,70.97802197802199
2016-10-10,46.505494505494504
2016-10-11,39.005494505494504
2016-10-12,33.41025641025641
2016-10-13,34.75457875457876
2016-10-14,20.315018315018314
2016-10-15,19.721611721611723
2016-10-16,16.532967032967033
2016-10-17,18.40842490842491
2016-10-18,15.595238095238095
2016-10-19,24.001831501831504
2016-10-20,30.692307692307693
2016-10-21,20.87728937728938
2016-10-22,11.219780219780219
2016-10-23,19.846153846153847
2016-10-24,10.095238095238095
2016-10-25,13.595238095238095
2016-10-26,4.844322344322345
2016-10-27,26.472527472527474
2016-10-28,13.18864468864469
2016-10-29,11.595238095238095
2016-10-30,20.846153846153847
2016-10-31,16.37728937728938
2016-11-01,14.47069597069597
2016-11-02,18.0
2016-11-03,35.0
2016-11-04,18.0
