date,hillary hand
2016-10-26,3.336633663366337
2016-10-27,3.6386138613861387
2016-10-28,3.0693069306930694
2016-10-29,5.53960396039604
2016-10-30,2.702970297029703
2016-10-31,3.871287128712871
2016-11-01,1.9356435643564356
2016-11-02,100.0
2016-11-03,13.0
2016-11-04,5.0
2016-11-05,3.0
2016-11-06,5.0
2016-11-07,7.0
2016-11-08,8.0
2016-11-09,16.0
2016-11-10,8.0
2016-11-11,6.0
2016-11-12,1.0
2016-11-13,2.0
2016-11-14,2.0
2016-11-15,1.0
2016-11-16,1.0
2016-11-17,2.0
2016-11-18,1.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,1.0
2016-11-23,2.0
2016-11-24,1.0
2016-11-25,1.0
2016-11-26,0.0
2016-11-27,1.0
2016-11-28,1.0
