date,obamacare
2017-03-18,4.953703703703704
2017-03-19,5.862654320987654
2017-03-20,5.862654320987654
2017-03-21,8.089506172839506
2017-03-22,10.816358024691358
2017-03-23,27.49537037037037
2017-03-24,81.39506172839506
2017-03-25,78.75925925925927
2017-03-26,28.313271604938272
2017-03-27,19.314814814814817
2017-03-28,13.952160493827162
2017-03-29,8.998456790123456
2017-03-30,7.180555555555555
2017-03-31,5.862654320987654
2017-04-01,4.544753086419753
2017-04-02,4.907407407407407
2017-04-03,4.907407407407407
2017-04-04,6.54320987654321
2017-04-05,5.7253086419753085
2017-04-06,4.907407407407407
2017-04-07,4.089506172839506
2017-04-08,3.271604938271605
2017-04-09,3.271604938271605
2017-04-10,4.089506172839506
2017-04-11,4.089506172839506
2017-04-12,4.089506172839506
2017-04-13,4.907407407407407
2017-04-14,6.54320987654321
2017-04-15,3.271604938271605
2017-04-16,2.4537037037037037
2017-04-17,4.907407407407407
2017-04-18,4.907407407407407
2017-04-19,4.089506172839506
2017-04-20,7.361111111111111
2017-04-21,3.271604938271605
2017-04-22,2.4537037037037037
2017-04-23,2.4537037037037037
2017-04-24,4.089506172839506
2017-04-25,3.271604938271605
2017-04-26,9.814814814814815
2017-04-27,7.361111111111111
2017-04-28,4.907407407407407
2017-04-29,4.089506172839506
2017-04-30,3.271604938271605
2017-05-01,4.907407407407407
2017-05-02,7.361111111111111
2017-05-03,8.179012345679013
2017-05-04,68.7037037037037
2017-05-05,68.7037037037037
2017-05-06,20.44753086419753
2017-05-07,12.268518518518517
2017-05-08,11.450617283950617
2017-05-09,8.179012345679013
2017-05-10,6.54320987654321
2017-05-11,8.179012345679013
2017-05-12,5.7253086419753085
2017-05-13,3.271604938271605
2017-05-14,3.271604938271605
2017-05-15,4.089506172839506
2017-05-16,4.089506172839506
2017-05-17,3.271604938271605
2017-05-18,4.089506172839506
2017-05-19,3.271604938271605
2017-05-20,2.4537037037037037
2017-05-21,2.4537037037037037
2017-05-22,3.271604938271605
2017-05-23,3.271604938271605
2017-05-24,4.089506172839506
2017-05-25,4.907407407407407
2017-05-26,4.089506172839506
2017-05-27,2.4537037037037037
2017-05-28,2.4537037037037037
2017-05-29,2.4537037037037037
2017-05-30,3.271604938271605
2017-05-31,3.271604938271605
2017-06-01,3.271604938271605
2017-06-02,2.4537037037037037
2017-06-03,2.4537037037037037
