date,donald trump rally
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,2.0
2017-02-13,0.0
2017-02-14,1.0
2017-02-15,1.0
2017-02-16,6.0
2017-02-17,8.0
2017-02-18,29.0
2017-02-19,47.0
2017-02-20,10.0
2017-02-21,4.0
2017-02-22,2.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,3.0
2017-02-26,1.0
2017-02-27,2.0
2017-02-28,1.0
2017-03-01,1.9198473282442747
2017-03-02,1.1297709923664123
2017-03-03,1.4096692111959288
2017-03-04,4.039440203562341
2017-03-05,2.3295165394402035
2017-03-06,1.1895674300254453
2017-03-07,0.27989821882951654
2017-03-08,0.13994910941475827
2017-03-09,2.199745547073791
2017-03-10,1.1997455470737912
2017-03-11,1.059796437659033
2017-03-12,0.8498727735368956
2017-03-13,0.8498727735368956
2017-03-14,0.48982188295165396
2017-03-15,5.159033078880407
2017-03-16,5.229007633587786
2017-03-17,1.4096692111959288
2017-03-18,1.6297709923664123
2017-03-19,1.059796437659033
2017-03-20,2.8994910941475824
2017-03-21,4.589058524173028
2017-03-22,1.059796437659033
2017-03-23,1.2697201017811706
2017-03-24,1.489821882951654
2017-03-25,3.119592875318066
2017-03-26,3.6793893129770994
2017-03-27,0.48982188295165396
2017-03-28,0.7798982188295165
2017-03-29,0.9198473282442748
2017-03-30,0.34987277353689566
2017-03-31,0.7798982188295165
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.41984732824427484
2017-04-04,0.41984732824427484
2017-04-05,0.41984732824427484
2017-04-06,0.41984732824427484
2017-04-07,0.27989821882951654
2017-04-08,0.41984732824427484
2017-04-09,0.5597964376590331
2017-04-10,0.6997455470737913
2017-04-11,0.41984732824427484
2017-04-12,0.41984732824427484
2017-04-13,0.27989821882951654
2017-04-14,0.0
2017-04-15,0.41984732824427484
2017-04-16,1.1195928753180662
2017-04-17,0.6997455470737913
2017-04-18,0.9796437659033079
2017-04-19,0.41984732824427484
2017-04-20,0.6997455470737913
2017-04-21,0.5597964376590331
2017-04-22,13.155216284987278
2017-04-23,12.035623409669212
2017-04-24,0.8396946564885497
2017-04-25,1.539440203562341
2017-04-26,1.1195928753180662
2017-04-27,1.1195928753180662
2017-04-28,1.2595419847328244
2017-04-29,6.297709923664122
2017-04-30,13.994910941475828
2017-05-01,2.519083969465649
2017-05-02,1.6793893129770994
2017-05-03,0.9796437659033079
2017-05-04,1.2595419847328244
2017-05-05,0.8396946564885497
2017-05-06,0.41984732824427484
2017-05-07,0.6997455470737913
2017-05-08,0.8396946564885497
2017-05-09,1.539440203562341
2017-05-10,0.27989821882951654
2017-05-11,0.41984732824427484
2017-05-12,0.27989821882951654
2017-05-13,0.0
2017-05-14,0.41984732824427484
2017-05-15,0.27989821882951654
2017-05-16,0.41984732824427484
2017-05-17,0.27989821882951654
2017-05-18,0.27989821882951654
2017-05-19,0.6997455470737913
2017-05-20,0.41984732824427484
2017-05-21,0.5597964376590331
2017-05-22,0.41984732824427484
2017-05-23,0.41984732824427484
2017-05-24,0.6997455470737913
2017-05-25,0.5597964376590331
2017-05-26,0.5597964376590331
2017-05-27,0.41984732824427484
2017-05-28,0.5597964376590331
2017-05-29,0.27989821882951654
2017-05-30,0.0
2017-05-31,0.8396946564885497
2017-06-01,0.8396946564885497
2017-06-02,0.6997455470737913
2017-06-03,1.2595419847328244
