date,weiner anthony
2017-05-21,6.224201300537177
2017-05-22,3.295165394402035
2017-05-23,1.4645179530675712
2017-05-24,1.0983884648006783
2017-05-25,0.7322589765337856
2017-05-26,1.0983884648006783
2017-05-27,0.7322589765337856
2017-05-28,1.4645179530675712
2017-05-29,1.0983884648006783
2017-05-30,0.7322589765337856
2017-05-31,1.0983884648006783
2017-06-01,1.0983884648006783
2017-06-02,0.7322589765337856
2017-06-03,0.7322589765337856
