date,golf
2016-09-23,57.0
2016-09-24,58.0
2016-09-25,62.0
2016-09-26,59.0
2016-09-27,50.0
2016-09-28,50.0
2016-09-29,50.0
2016-09-30,61.0
2016-10-01,64.34685430463577
2016-10-02,60.90604304635762
2016-10-03,51.87748344370861
2016-10-04,49.90707781456953
2016-10-05,49.40707781456953
2016-10-06,48.76014072847683
2016-10-07,49.90707781456953
2016-10-08,53.347889072847686
2016-10-09,53.024420529801326
2016-10-10,49.90707781456953
2016-10-11,47.93667218543047
2016-10-12,47.61320364238411
2016-10-13,48.58360927152318
2016-10-14,49.90707781456953
2016-10-15,52.70095198675497
2016-10-16,53.20095198675497
2016-10-17,47.93667218543047
2016-10-18,46.28973509933775
2016-10-19,44.81932947019868
2016-10-20,44.81932947019868
2016-10-21,46.28973509933775
2016-10-22,49.40707781456953
2016-10-23,49.08360927152318
2016-10-24,44.31932947019868
2016-10-25,42.8489238410596
2016-10-26,42.3489238410596
2016-10-27,43.99586092715232
2016-10-28,46.46626655629139
2016-10-29,47.61320364238411
2016-10-30,47.93667218543047
2016-10-31,44.31932947019868
2016-11-01,43.17239238410596
2016-11-02,42.69784768211921
2016-11-03,42.69784768211921
2016-11-04,45.28559602649007
2016-11-05,47.87334437086093
2016-11-06,46.5794701986755
2016-11-07,42.69784768211921
2016-11-08,40.757036423841065
2016-11-09,34.93460264900663
2016-11-10,44.638658940397356
2016-11-11,45.93253311258278
2016-11-12,48.52028145695365
2016-11-13,47.226407284768214
2016-11-14,42.05091059602649
2016-11-15,40.757036423841065
2016-11-16,41.40397350993378
2016-11-17,43.991721854304636
2016-11-18,44.638658940397356
2016-11-19,46.5794701986755
2016-11-20,49.16721854304636
2016-11-21,42.05091059602649
2016-11-22,40.110099337748345
2016-11-23,40.110099337748345
2016-11-24,41.40397350993378
2016-11-25,44.638658940397356
2016-11-26,45.28559602649007
2016-11-27,43.991721854304636
2016-11-28,40.757036423841065
2016-11-29,40.110099337748345
2016-11-30,40.110099337748345
2016-12-01,42.69784768211921
2016-12-02,42.69784768211921
2016-12-03,46.5794701986755
2016-12-04,47.226407284768214
2016-12-05,41.40397350993378
2016-12-06,40.110099337748345
2016-12-07,39.46316225165563
2016-12-08,39.46316225165563
2016-12-09,38.81622516556292
2016-12-10,40.110099337748345
2016-12-11,40.757036423841065
2016-12-12,39.46316225165563
2016-12-13,38.1692880794702
2016-12-14,37.522350993377486
2016-12-15,38.1692880794702
2016-12-16,38.1692880794702
2016-12-17,40.110099337748345
2016-12-18,40.110099337748345
2016-12-19,38.1692880794702
2016-12-20,38.81622516556292
2016-12-21,39.46316225165563
2016-12-22,39.46316225165563
2016-12-23,38.1692880794702
2016-12-24,36.87541390728477
2016-12-25,36.87541390728477
2016-12-26,42.69784768211921
2016-12-27,43.991721854304636
2016-12-28,45.28559602649007
2016-12-29,43.991721854304636
2016-12-30,43.34478476821192
2016-12-31,37.522350993377486
2017-01-01,42.05091059602649
2017-01-02,42.69784768211921
2017-01-03,42.05091059602649
2017-01-04,42.05091059602649
2017-01-05,42.69784768211921
2017-01-06,43.991721854304636
2017-01-07,45.28559602649007
2017-01-08,45.28559602649007
2017-01-09,43.34478476821192
2017-01-10,41.40397350993378
2017-01-11,40.757036423841065
2017-01-12,42.05091059602649
2017-01-13,43.34478476821192
2017-01-14,47.226407284768214
2017-01-15,48.52028145695365
2017-01-16,43.991721854304636
2017-01-17,43.34478476821192
2017-01-18,42.69784768211921
2017-01-19,43.34478476821192
2017-01-20,43.34478476821192
2017-01-21,47.87334437086093
2017-01-22,48.52028145695365
2017-01-23,43.34478476821192
2017-01-24,42.05091059602649
2017-01-25,42.05091059602649
2017-01-26,45.28559602649007
2017-01-27,47.226407284768214
2017-01-28,50.46109271523179
2017-01-29,50.46109271523179
2017-01-30,44.638658940397356
2017-01-31,42.69784768211921
2017-02-01,41.40397350993378
2017-02-02,45.28559602649007
2017-02-03,47.226407284768214
2017-02-04,51.754966887417226
2017-02-05,50.46109271523179
2017-02-06,44.638658940397356
2017-02-07,43.991721854304636
2017-02-08,43.34478476821192
2017-02-09,44.638658940397356
2017-02-10,47.226407284768214
2017-02-11,54.342715231788084
2017-02-12,56.93046357615894
2017-02-13,47.226407284768214
2017-02-14,43.34478476821192
2017-02-15,45.28559602649007
2017-02-16,45.28559602649007
2017-02-17,49.81415562913907
2017-02-18,55.63658940397352
2017-02-19,60.812086092715234
2017-02-20,52.40190397350994
2017-02-21,48.52028145695365
2017-02-22,47.226407284768214
2017-02-23,47.226407284768214
2017-02-24,48.52028145695365
2017-02-25,54.342715231788084
2017-02-26,53.69577814569537
2017-02-27,47.87334437086093
2017-02-28,45.93253311258278
2017-03-01,46.599029619989196
2017-03-02,48.52083502548139
2017-03-03,50.59487177610379
2017-03-04,56.68375653562673
2017-03-05,59.57596757025799
2017-03-06,50.91834031915015
2017-03-07,47.39819805121212
2017-03-08,47.39819805121212
2017-03-09,46.922498163035556
2017-03-10,48.84430356852775
2017-03-11,55.08541967318089
2017-03-12,57.00722507867308
2017-03-13,49.32000345670431
2017-03-14,47.72166659425847
2017-03-15,46.922498163035556
2017-03-16,47.39819805121212
2017-03-17,49.16777211157411
2017-03-18,54.761951130134534
2017-03-19,58.60556194111892
2017-03-20,52.68791437951214
2017-03-21,50.11917188792722
2017-03-22,49.32000345670431
2017-03-23,50.76610897401994
2017-03-24,53.48708281073505
2017-03-25,58.28209339807256
2017-03-26,60.85083588965747
2017-03-27,54.28625124195797
2017-03-28,51.56527740524287
2017-03-29,51.24180886219651
2017-03-30,52.21221449133557
2017-03-31,54.28625124195797
2017-04-01,59.252499027211634
2017-04-02,62.79238523930594
2017-04-03,58.98678613389346
2017-04-04,56.1325868048341
2017-04-05,58.03538635754034
2017-04-06,68.50078389742467
2017-04-07,69.45218367377778
2017-04-08,77.06338188460275
2017-04-09,95.13997763531204
2017-04-10,70.40358345013091
2017-04-11,60.8895856865997
2017-04-12,57.08398658118722
2017-04-13,59.93818591024658
2017-04-14,66.59798434471843
2017-04-15,66.59798434471843
2017-04-16,67.54938412107154
2017-04-17,62.79238523930594
2017-04-18,56.1325868048341
2017-04-19,55.18118702848098
2017-04-20,56.1325868048341
2017-04-21,58.03538635754034
2017-04-22,62.79238523930594
2017-04-23,62.79238523930594
2017-04-24,57.08398658118722
2017-04-25,55.18118702848098
2017-04-26,54.229787252127856
2017-04-27,54.229787252127856
2017-04-28,56.1325868048341
2017-04-29,59.93818591024658
2017-04-30,62.79238523930594
2017-05-01,60.8895856865997
2017-05-02,56.1325868048341
2017-05-03,53.278387475774736
2017-05-04,54.229787252127856
2017-05-05,57.08398658118722
2017-05-06,59.93818591024658
2017-05-07,65.6465845683653
2017-05-08,58.98678613389346
2017-05-09,56.1325868048341
2017-05-10,58.03538635754034
2017-05-11,58.98678613389346
2017-05-12,60.8895856865997
2017-05-13,65.6465845683653
2017-05-14,69.45218367377778
2017-05-15,60.8895856865997
2017-05-16,58.03538635754034
2017-05-17,57.08398658118722
2017-05-18,56.1325868048341
2017-05-19,59.93818591024658
2017-05-20,64.69518479201218
2017-05-21,67.54938412107154
2017-05-22,59.93818591024658
2017-05-23,55.18118702848098
2017-05-24,56.1325868048341
2017-05-25,59.93818591024658
2017-05-26,62.79238523930594
2017-05-27,65.6465845683653
2017-05-28,71.35498322648402
2017-05-29,63.743785015659064
2017-05-30,61.84098546295282
2017-05-31,60.8895856865997
2017-06-01,60.8895856865997
2017-06-02,62.79238523930594
2017-06-03,66.59798434471843
