date,donald trump scandal
2017-05-09,1.65317782418535
2017-05-10,2.7228811221876357
2017-05-11,3.3063556483707
2017-05-12,4.47330470073683
2017-05-13,2.528389613459947
2017-05-14,2.528389613459947
2017-05-15,2.1394065960045707
2017-05-16,4.2788131920091415
2017-05-17,6.515465542377556
2017-05-18,9.724575436384413
2017-05-19,6.12648252492218
2017-05-20,3.2091098940068563
2017-05-21,4.47330470073683
2017-05-22,1.0697032980022854
2017-05-23,3.792584420189921
2017-05-24,0.0
2017-05-25,3.4036014027345445
2017-05-26,3.5980929114622326
2017-05-27,2.6256353678237914
2017-05-28,3.3063556483707
2017-05-29,1.1669490523661294
2017-05-30,2.236652350368415
2017-05-31,1.65317782418535
2017-06-01,1.0697032980022854
2017-06-02,3.987075928917609
2017-06-03,3.889830174553765
