date,hillary supporters
2016-09-02,1.0187499999999998
2016-09-03,0.815
2016-09-04,0.61125
2016-09-05,0.815
2016-09-06,1.0187499999999998
2016-09-07,1.2225
2016-09-08,1.63
2016-09-09,1.63
2016-09-10,19.1525
2016-09-11,20.375
2016-09-12,13.04
2016-09-13,10.79875
2016-09-14,7.334999999999999
2016-09-15,4.686249999999999
2016-09-16,4.27875
2016-09-17,3.87125
2016-09-18,2.6487499999999997
2016-09-19,2.24125
2016-09-20,2.6487499999999997
2016-09-21,5.09375
2016-09-22,6.72375
2016-09-23,4.27875
2016-09-24,2.445
2016-09-25,2.6487499999999997
2016-09-26,3.4637499999999997
2016-09-27,5.9087499999999995
2016-09-28,4.074999999999999
2016-09-29,3.26
2016-09-30,3.26
2016-10-01,9.7975
2016-10-02,10.09375
2016-10-03,7.565625
2016-10-04,4.13
2016-10-05,4.0375
2016-10-06,3.8337499999999998
2016-10-07,3.13
2016-10-08,4.843125
2016-10-09,4.639374999999999
2016-10-10,7.1674999999999995
2016-10-11,5.3525
2016-10-12,4.945
2016-10-13,6.26
2016-10-14,5.14875
2016-10-15,4.64875
2016-10-16,3.8337499999999998
2016-10-17,5.750624999999999
2016-10-18,4.74125
2016-10-19,4.945
2016-10-20,6.658125
2016-10-21,4.139374999999999
2016-10-22,3.3337499999999998
2016-10-23,2.620625
2016-10-24,2.7225
2016-10-25,3.5374999999999996
2016-10-26,4.0375
2016-10-27,3.935625
2016-10-28,3.7318749999999996
2016-10-29,5.750624999999999
2016-10-30,6.963749999999999
2016-10-31,5.3525
2016-11-01,5.3525
2016-11-02,9.0
2016-11-03,8.0
2016-11-04,6.0
2016-11-05,6.0
2016-11-06,8.0
2016-11-07,10.0
2016-11-08,15.0
2016-11-09,100.0
2016-11-10,58.0
2016-11-11,37.0
2016-11-12,22.0
2016-11-13,15.0
2016-11-14,13.0
2016-11-15,10.0
2016-11-16,7.0
2016-11-17,5.0
2016-11-18,4.0
2016-11-19,4.0
2016-11-20,4.0
2016-11-21,3.0
2016-11-22,3.0
2016-11-23,5.0
2016-11-24,3.0
2016-11-25,3.0
2016-11-26,1.0
2016-11-27,2.0
2016-11-28,2.0
2016-11-29,1.0
2016-11-30,1.0
2016-12-01,2.0
2016-12-02,2.0
2016-12-03,1.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,1.0
2016-12-07,2.0
2016-12-08,1.0
2016-12-09,2.0
2016-12-10,1.0
2016-12-11,2.0
2016-12-12,1.0
2016-12-13,2.0
2016-12-14,2.0
2016-12-15,2.0
2016-12-16,2.0
2016-12-17,1.0
2016-12-18,1.0
2016-12-19,2.0
2016-12-20,2.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-23,2.0
2016-12-24,1.0
2016-12-25,0.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,1.0
2016-12-30,2.0
2016-12-31,2.0
2017-01-01,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,0.0
2017-01-07,1.0
2017-01-08,0.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-12,1.0
2017-01-13,0.0
2017-01-14,1.0
2017-01-15,1.0
2017-01-16,1.0
2017-01-17,1.0
2017-01-18,1.0
2017-01-19,1.0
2017-01-20,4.0
2017-01-21,3.0
2017-01-22,2.0
2017-01-23,1.0
2017-01-24,2.0
2017-01-25,2.0
2017-01-26,1.0
2017-01-27,0.0
2017-01-28,1.0
2017-01-29,1.0
2017-01-30,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,0.0
2017-02-06,1.0
2017-02-07,1.0
2017-02-08,0.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,0.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,0.0
2017-02-16,1.0
2017-02-17,1.0
2017-02-18,0.0
2017-02-19,1.0
2017-02-20,0.0
2017-02-21,1.0
2017-02-22,1.0
2017-02-23,1.0
2017-02-24,0.0
2017-02-25,1.0
2017-02-26,1.0
2017-02-27,1.0
2017-02-28,0.0
2017-03-01,0.27750525578135954
2017-03-02,0.7817098808689559
2017-03-03,0.7186405045550105
2017-03-04,0.2817098808689559
2017-03-05,0.23545900490539595
2017-03-06,0.6723896285914506
2017-03-07,0.7733006306937631
2017-03-08,0.605115627189909
2017-03-09,0.21023125437981782
2017-03-10,0.2901191310441486
2017-03-11,0.2817098808689559
2017-03-12,0.27750525578135954
2017-03-13,0.10511562718990891
2017-03-14,0.6723896285914506
2017-03-15,0.7102312543798178
2017-03-16,0.07147862648913805
2017-03-17,0.6471618780658724
2017-03-18,0.5
2017-03-19,0.19761737911702876
2017-03-20,0.6387526278906798
2017-03-21,0.8111422564821305
2017-03-22,0.13875262789067977
2017-03-23,0.1429572529782761
2017-03-24,0.10932025227750526
2017-03-25,0.1639803784162579
2017-03-26,0.1639803784162579
2017-03-27,0.1723896285914506
2017-03-28,0.13875262789067977
2017-03-29,0.24807288016818502
2017-03-30,0.10932025227750526
2017-03-31,0.14716187806587247
2017-04-01,0.7060266292922215
2017-04-02,0.2522775052557814
2017-04-03,0.8409250175192713
2017-04-04,0.1429572529782761
2017-04-05,0.42046250875963564
2017-04-06,0.1429572529782761
2017-04-07,0.5970567624386827
2017-04-08,0.2522775052557814
2017-04-09,0.5129642606867555
2017-04-10,0.21864050455501052
2017-04-11,0.43728100911002105
2017-04-12,0.4456902592852138
2017-04-13,0.30273300630693767
2017-04-14,0.6559215136650316
2017-04-15,0.3447792571829012
2017-04-16,0.7736510161177296
2017-04-17,0.15136650315346883
2017-04-18,0.21023125437981782
2017-04-19,0.27750525578135954
2017-04-20,0.1429572529782761
2017-04-21,0.37841625788367206
2017-04-22,0.3363700070077085
2017-04-23,0.24386825508058868
2017-04-24,0.2859145059565522
2017-04-25,0.35318850735809393
2017-04-26,0.21023125437981782
2017-04-27,0.2859145059565522
2017-04-28,0.29432375613174494
2017-04-29,0.16818500350385426
2017-04-30,0.2522775052557814
2017-05-01,0.5466012613875263
2017-05-02,0.2859145059565522
2017-05-03,0.35318850735809393
2017-05-04,0.7147862648913806
2017-05-05,0.3700070077084794
2017-05-06,0.0
2017-05-07,0.3363700070077085
2017-05-08,0.2859145059565522
2017-05-09,0.2859145059565522
2017-05-10,0.35318850735809393
2017-05-11,0.2859145059565522
2017-05-12,0.15136650315346883
2017-05-13,0.3363700070077085
2017-05-14,0.0
2017-05-15,0.4288717589348284
2017-05-16,0.35318850735809393
2017-05-17,0.2859145059565522
2017-05-18,0.21864050455501052
2017-05-19,0.21864050455501052
2017-05-20,0.2522775052557814
2017-05-21,0.3363700070077085
2017-05-22,0.1429572529782761
2017-05-23,0.35318850735809393
2017-05-24,0.4288717589348284
2017-05-25,0.22704975473020325
2017-05-26,0.6222845129642608
2017-05-27,0.43728100911002105
2017-05-28,0.35318850735809393
2017-05-29,0.30273300630693767
2017-05-30,0.1429572529782761
2017-05-31,0.4288717589348284
2017-06-01,0.5802382620882972
2017-06-02,0.6054660126138753
2017-06-03,0.5129642606867555
