date,blockchain
2016-11-03,39.53396524486572
2016-11-04,35.884676145339654
2016-11-05,27.369668246445496
2016-11-06,27.369668246445496
2016-11-07,38.92575039494471
2016-11-08,41.35860979462875
2016-11-09,32.843601895734594
2016-11-10,38.92575039494471
2016-11-11,34.06003159557662
2016-11-12,27.369668246445496
2016-11-13,26.153238546603475
2016-11-14,37.10110584518167
2016-11-15,43.183254344391784
2016-11-16,49.2654028436019
2016-11-17,45.00789889415482
2016-11-18,40.14218009478673
2016-11-19,29.19431279620853
2016-11-20,31.018957345971565
2016-11-21,46.22432859399684
2016-11-22,51.69826224328594
2016-11-23,45.616113744075825
2016-11-24,41.35860979462875
2016-11-25,35.884676145339654
2016-11-26,27.977883096366508
2016-11-27,28.58609794628752
2016-11-28,45.00789889415482
