date,cognitive impairment
2017-03-18,27.245463217227922
2017-03-19,42.06564532446886
2017-03-20,44.35213181095534
2017-03-21,69.31110854169677
2017-03-22,71.64568868333575
2017-03-23,64.25067784361903
2017-03-24,56.93392108686227
2017-03-25,43.422457002457
2017-03-26,35.53713542419425
2017-03-27,54.58426073131956
2017-03-28,56.918840872958526
2017-03-29,70.61982656453245
2017-03-30,63.00513368983957
2017-03-31,59.346755311461195
2017-04-01,30.603052464228934
2017-04-02,31.529874259286025
2017-04-03,74.09520450932216
2017-04-04,66.21273594450065
2017-04-05,66.21273594450065
2017-04-06,47.29481138892904
2017-04-07,55.17727995375054
2017-04-08,37.04760225466108
2017-04-09,38.62409596762538
2017-04-10,64.63624223153636
2017-04-11,73.30695765284001
2017-04-12,70.15397022691141
2017-04-13,54.389033097268396
2017-04-14,44.141823963000434
2017-04-15,31.529874259286025
2017-04-16,27.58863997687527
2017-04-17,48.08305824541119
2017-04-18,65.4244890880185
2017-04-19,78.03643879173292
2017-04-20,59.118514236161296
2017-04-21,59.90676109264345
2017-04-22,45.71831767596474
2017-04-23,34.682861685214625
2017-04-24,47.29481138892904
2017-04-25,74.8834513658043
2017-04-26,68.5774765139471
2017-04-27,70.94221708339356
2017-04-28,69.36572337042925
2017-04-29,37.83584911114323
2017-04-30,40.20058968058968
2017-05-01,57.542020523196996
2017-05-02,63.847995375054204
2017-05-03,67.00098280098281
2017-05-04,59.118514236161296
2017-05-05,52.812539384304095
2017-05-06,22.85915883798237
2017-05-07,44.141823963000434
2017-05-08,74.09520450932216
2017-05-09,58.33026737967915
2017-05-10,78.82468564821507
2017-05-11,65.4244890880185
2017-05-12,40.98883653707183
2017-05-13,37.04760225466108
2017-05-14,46.50656453244689
2017-05-15,64.63624223153636
2017-05-16,56.75377366671485
2017-05-17,52.812539384304095
2017-05-18,63.847995375054204
2017-05-19,60.6950079491256
2017-05-20,46.50656453244689
2017-05-21,42.56533025003613
2017-05-22,45.71831767596474
2017-05-23,51.236045671339795
2017-05-24,55.17727995375054
2017-05-25,58.33026737967915
2017-05-26,63.05974851857205
2017-05-27,53.60078624078624
2017-05-28,22.070911981500217
2017-05-29,43.35357710651829
2017-05-30,44.93007081948259
2017-05-31,73.30695765284001
2017-06-01,57.542020523196996
2017-06-02,59.118514236161296
2017-06-03,21.282665125018067
