date,hillary book
2016-11-01,15.726185889577716
2016-11-02,21.021505376344084
2016-11-03,19.193548387096772
2016-11-04,21.93548387096774
2016-11-05,15.53763440860215
2016-11-06,25.591397849462364
2016-11-07,35.64516129032258
2016-11-08,63.97849462365591
2016-11-09,91.39784946236558
2016-11-10,38.387096774193544
2016-11-11,31.0752688172043
2016-11-12,18.279569892473116
2016-11-13,17.36559139784946
2016-11-14,14.623655913978494
2016-11-15,15.53763440860215
2016-11-16,15.53763440860215
2016-11-17,14.623655913978494
2016-11-18,11.881720430107526
2016-11-19,6.397849462365591
2016-11-20,7.311827956989247
2016-11-21,7.311827956989247
2016-11-22,10.053763440860214
2016-11-23,8.225806451612902
2016-11-24,6.397849462365591
2016-11-25,6.397849462365591
2016-11-26,7.311827956989247
2016-11-27,7.311827956989247
