date,hillary benghazi
2016-11-03,21.0
2016-11-04,20.0
2016-11-05,19.0
2016-11-06,27.0
2016-11-07,33.0
2016-11-08,58.0
2016-11-09,100.0
2016-11-10,57.0
2016-11-11,23.0
2016-11-12,23.0
2016-11-13,15.0
2016-11-14,11.0
2016-11-15,7.0
2016-11-16,3.0
2016-11-17,5.0
2016-11-18,5.0
2016-11-19,5.0
2016-11-20,3.0
2016-11-21,6.0
2016-11-22,3.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,3.0
2016-11-26,3.0
2016-11-27,2.0
2016-11-28,3.0
2016-11-29,3.0
2016-11-30,3.0
2016-12-01,2.0
2016-12-02,2.0
2016-12-03,2.0
2016-12-04,2.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,1.0
2016-12-08,2.0
2016-12-09,1.0
2016-12-10,2.0
2016-12-11,1.0
2016-12-12,1.0
2016-12-13,1.0
2016-12-14,1.0
2016-12-15,1.0
2016-12-16,2.0
2016-12-17,2.0
2016-12-18,2.0
2016-12-19,2.0
2016-12-20,2.0
2016-12-21,1.0
2016-12-22,2.0
2016-12-23,2.0
2016-12-24,3.0
2016-12-25,2.0
2016-12-26,2.0
2016-12-27,2.0
2016-12-28,3.0
2016-12-29,3.0
2016-12-30,2.0
2016-12-31,2.0
2017-01-01,3.0
2017-01-02,3.0
2017-01-03,2.0
2017-01-04,2.0
2017-01-05,4.0
2017-01-06,4.0
2017-01-07,3.0
2017-01-08,4.0
2017-01-09,4.0
2017-01-10,2.0
2017-01-11,2.0
2017-01-12,3.0
2017-01-13,2.0
2017-01-14,4.0
2017-01-15,4.0
2017-01-16,3.0
2017-01-17,2.0
2017-01-18,3.0
2017-01-19,0.0
2017-01-20,6.0
2017-01-21,5.0
2017-01-22,7.0
2017-01-23,3.0
2017-01-24,5.0
2017-01-25,3.0
2017-01-26,3.0
2017-01-27,1.0
2017-01-28,4.0
2017-01-29,4.0
2017-01-30,3.0
2017-01-31,2.0
2017-02-01,2.0
2017-02-02,2.0
2017-02-03,3.0
2017-02-04,2.0
2017-02-05,2.0
2017-02-06,1.0
2017-02-07,2.0
2017-02-08,2.0
2017-02-09,1.0
2017-02-10,2.0
2017-02-11,2.0
2017-02-12,2.0
2017-02-13,3.0
2017-02-14,3.0
2017-02-15,1.0
2017-02-16,2.0
2017-02-17,2.0
2017-02-18,2.0
2017-02-19,1.0
2017-02-20,3.0
2017-02-21,2.0
2017-02-22,1.0
2017-02-23,2.0
2017-02-24,1.0
2017-02-25,2.0
2017-02-26,1.0
2017-02-27,3.0
2017-02-28,1.0
2017-03-01,1.9603057199211045
2017-03-02,1.9097633136094674
2017-03-03,2.3895463510848125
2017-03-04,1.106508875739645
2017-03-05,1.227810650887574
2017-03-06,0.9750986193293885
2017-03-07,0.8133629191321499
2017-03-08,0.9245562130177515
2017-03-09,1.2480276134122288
2017-03-10,0.8841222879684418
2017-03-11,1.9805226824457594
2017-03-12,2.470414201183432
2017-03-13,0.9245562130177515
2017-03-14,1.1873767258382641
2017-03-15,0.9245562130177515
2017-03-16,0.31336291913214986
2017-03-17,1.0559664694280078
2017-03-18,0.9245562130177515
2017-03-19,1.7884615384615383
2017-03-20,1.2985700197238659
2017-03-21,1.2379191321499015
2017-03-22,1.6873767258382641
2017-03-23,1.1469428007889546
2017-03-24,0.3942307692307692
2017-03-25,1.7581360946745561
2017-03-26,1.3133629191321499
2017-03-27,0.9245562130177515
2017-03-28,0.6368343195266272
2017-03-29,1.3187869822485205
2017-03-30,0.4953155818540434
2017-03-31,1.9603057199211045
2017-04-01,1.8187869822485205
2017-04-02,1.8801775147928994
2017-04-03,0.9704142011834319
2017-04-04,0.7480276134122288
2017-04-05,1.2938856015779092
2017-04-06,1.21301775147929
2017-04-07,1.2534516765285995
2017-04-08,0.8895463510848126
2017-04-09,0.9097633136094674
2017-04-10,0.8895463510848126
2017-04-11,0.7682445759368836
2017-04-12,1.0108481262327416
2017-04-13,0.46499013806706113
2017-04-14,0.7480276134122288
2017-04-15,1.192800788954635
2017-04-16,1.1725838264299802
2017-04-17,0.5660749506903353
2017-04-18,0.6469428007889546
2017-04-19,0.6469428007889546
2017-04-20,0.6469428007889546
2017-04-21,1.0108481262327416
2017-04-22,1.5162721893491125
2017-04-23,1.1119329388560157
2017-04-24,0.7682445759368836
2017-04-25,0.4245562130177515
2017-04-26,0.3234714003944773
2017-04-27,0.8693293885601577
2017-04-28,0.4447731755424063
2017-04-29,1.4151873767258383
2017-04-30,1.2938856015779092
2017-05-01,0.7075936883629191
2017-05-02,1.5971400394477318
2017-05-03,1.071499013806706
2017-05-04,1.6173570019723864
2017-05-05,1.2332347140039448
2017-05-06,0.6267258382642997
2017-05-07,0.24260355029585798
2017-05-08,1.0917159763313609
2017-05-09,1.071499013806706
2017-05-10,1.9610453648915187
2017-05-11,0.9704142011834319
2017-05-12,1.1321499013806706
2017-05-13,1.1321499013806706
2017-05-14,1.2938856015779092
2017-05-15,1.192800788954635
2017-05-16,0.7480276134122288
2017-05-17,1.4151873767258383
2017-05-18,1.5162721893491125
2017-05-19,1.0108481262327416
2017-05-20,1.0310650887573964
2017-05-21,0.8895463510848126
2017-05-22,1.6375739644970413
2017-05-23,1.7184418145956606
2017-05-24,1.9610453648915187
2017-05-25,0.5660749506903353
2017-05-26,2.021696252465483
2017-05-27,1.5971400394477318
2017-05-28,1.5971400394477318
2017-05-29,1.9610453648915187
2017-05-30,1.314102564102564
2017-05-31,0.7682445759368836
2017-06-01,0.7682445759368836
2017-06-02,1.1523668639053255
2017-06-03,1.0310650887573964
