date,putin russia
2016-11-03,14.232974910394267
2016-11-04,12.939068100358424
2016-11-05,12.939068100358424
2016-11-06,13.586021505376346
2016-11-07,15.526881720430108
2016-11-08,16.82078853046595
2016-11-09,64.69534050179212
2016-11-10,43.99283154121864
2016-11-11,23.937275985663085
2016-11-12,18.761648745519715
2016-11-13,18.761648745519715
2016-11-14,16.82078853046595
2016-11-15,19.408602150537636
2016-11-16,12.939068100358424
2016-11-17,12.292114695340503
2016-11-18,11.645161290322582
2016-11-19,12.939068100358424
2016-11-20,14.879928315412188
2016-11-21,15.526881720430108
2016-11-22,9.704301075268818
2016-11-23,9.704301075268818
2016-11-24,7.1164874551971335
2016-11-25,7.763440860215054
2016-11-26,16.82078853046595
2016-11-27,14.879928315412188
2016-11-28,7.1164874551971335
