date,trump golf
2016-11-03,9.547846889952151
2016-11-04,5.875598086124401
2016-11-05,8.813397129186601
2016-11-06,11.751196172248802
2016-11-07,16.157894736842103
2016-11-08,22.767942583732054
2016-11-09,73.44497607655501
2016-11-10,51.411483253588514
2016-11-11,36.722488038277504
2016-11-12,27.909090909090903
2016-11-13,26.4401913875598
2016-11-14,21.299043062200955
2016-11-15,19.095693779904302
2016-11-16,14.688995215311001
2016-11-17,14.688995215311001
2016-11-18,35.988038277511954
2016-11-19,44.06698564593301
2016-11-20,40.39473684210525
2016-11-21,31.581339712918655
2016-11-22,19.830143540669855
2016-11-23,12.485645933014352
2016-11-24,12.485645933014352
2016-11-25,15.423444976076553
2016-11-26,11.751196172248802
2016-11-27,11.016746411483252
2016-11-28,11.751196172248802
2016-11-29,11.751196172248802
2016-11-30,7.344497607655501
2016-12-01,8.813397129186601
2016-12-02,8.813397129186601
2016-12-03,5.875598086124401
2016-12-04,8.078947368421051
2016-12-05,6.61004784688995
2016-12-06,6.61004784688995
2016-12-07,12.485645933014352
2016-12-08,6.61004784688995
2016-12-09,7.344497607655501
2016-12-10,5.14114832535885
2016-12-11,10.2822966507177
2016-12-12,8.078947368421051
2016-12-13,7.344497607655501
2016-12-14,8.813397129186601
2016-12-15,4.406698564593301
2016-12-16,7.344497607655501
2016-12-17,5.14114832535885
2016-12-18,5.14114832535885
2016-12-19,6.61004784688995
2016-12-20,5.875598086124401
2016-12-21,7.344497607655501
2016-12-22,8.078947368421051
2016-12-23,22.767942583732054
2016-12-24,19.095693779904302
2016-12-25,8.078947368421051
2016-12-26,10.2822966507177
2016-12-27,7.344497607655501
2016-12-28,9.547846889952151
2016-12-29,6.61004784688995
2016-12-30,5.14114832535885
2016-12-31,9.547846889952151
2017-01-01,12.485645933014352
2017-01-02,13.2200956937799
2017-01-03,9.547846889952151
2017-01-04,9.547846889952151
2017-01-05,5.14114832535885
2017-01-06,8.813397129186601
2017-01-07,7.344497607655501
2017-01-08,7.344497607655501
2017-01-09,10.2822966507177
2017-01-10,4.406698564593301
2017-01-11,10.2822966507177
2017-01-12,9.547846889952151
2017-01-13,10.2822966507177
2017-01-14,12.485645933014352
2017-01-15,12.485645933014352
2017-01-16,15.423444976076553
2017-01-17,15.423444976076553
2017-01-18,13.2200956937799
2017-01-19,18.361244019138752
2017-01-20,32.315789473684205
2017-01-21,35.253588516746404
2017-01-22,23.502392344497604
2017-01-23,15.423444976076553
2017-01-24,13.954545454545451
2017-01-25,16.157894736842103
2017-01-26,17.626794258373202
2017-01-27,17.626794258373202
2017-01-28,16.892344497607652
2017-01-29,27.909090909090903
2017-01-30,18.361244019138752
2017-01-31,17.626794258373202
2017-02-01,15.423444976076553
2017-02-02,20.5645933014354
2017-02-03,14.688995215311001
2017-02-04,17.626794258373202
2017-02-05,14.688995215311001
2017-02-06,16.892344497607652
2017-02-07,16.157894736842103
2017-02-08,14.688995215311001
2017-02-09,18.361244019138752
2017-02-10,24.236842105263154
2017-02-11,36.722488038277504
2017-02-12,41.86363636363636
2017-02-13,27.909090909090903
2017-02-14,20.5645933014354
2017-02-15,13.2200956937799
2017-02-16,15.423444976076553
2017-02-17,18.361244019138752
2017-02-18,22.767942583732054
2017-02-19,30.112440191387552
2017-02-20,28.643540669856456
2017-02-21,30.112440191387552
2017-02-22,25.705741626794257
2017-02-23,25.705741626794257
2017-02-24,19.095693779904302
2017-02-25,18.361244019138752
2017-02-26,19.095693779904302
2017-02-27,12.485645933014352
2017-02-28,11.016746411483252
2017-03-01,16.57894736842105
2017-03-02,9.67224880382775
2017-03-03,14.578947368421051
2017-03-04,18.04784688995215
2017-03-05,25.587320574162675
2017-03-06,16.3133971291866
2017-03-07,16.57894736842105
2017-03-08,12.11004784688995
2017-03-09,10.14114832535885
2017-03-10,10.773923444976075
2017-03-11,18.54784688995215
2017-03-12,20.751196172248804
2017-03-13,23.985645933014354
2017-03-14,18.54784688995215
2017-03-15,11.508373205741627
2017-03-16,12.375598086124402
2017-03-17,17.180622009569376
2017-03-18,22.516746411483254
2017-03-19,27.2200956937799
2017-03-20,26.35287081339713
2017-03-21,25.485645933014354
2017-03-22,19.7822966507177
2017-03-23,16.211722488038276
2017-03-24,13.477272727272727
2017-03-25,23.516746411483254
2017-03-26,34.025119617224874
2017-03-27,33.89234449760765
2017-03-28,30.157894736842103
2017-03-29,17.3133971291866
2017-03-30,13.375598086124402
2017-03-31,17.8133971291866
2017-04-01,19.57894736842105
2017-04-02,74.0
2017-04-03,44.0
2017-04-04,22.0
2017-04-05,23.0
2017-04-06,22.0
2017-04-07,18.0
2017-04-08,23.0
2017-04-09,24.0
2017-04-10,28.0
2017-04-11,44.0
2017-04-12,29.0
2017-04-13,21.0
2017-04-14,31.0
2017-04-15,31.0
2017-04-16,32.0
2017-04-17,23.0
2017-04-18,18.0
2017-04-19,15.0
2017-04-20,11.0
2017-04-21,16.0
2017-04-22,15.0
2017-04-23,14.0
2017-04-24,19.0
2017-04-25,15.0
2017-04-26,14.0
2017-04-27,15.0
2017-04-28,15.0
2017-04-29,17.0
2017-04-30,15.0
2017-05-01,18.0
2017-05-02,13.0
2017-05-03,15.0
2017-05-04,15.0
2017-05-05,22.0
2017-05-06,17.0
2017-05-07,15.0
2017-05-08,19.0
2017-05-09,14.0
2017-05-10,14.0
2017-05-11,16.0
2017-05-12,15.0
2017-05-13,15.0
2017-05-14,20.0
2017-05-15,17.0
2017-05-16,16.0
2017-05-17,17.0
2017-05-18,14.0
2017-05-19,14.0
2017-05-20,14.0
2017-05-21,12.0
2017-05-22,10.0
2017-05-23,10.0
2017-05-24,13.0
2017-05-25,15.0
2017-05-26,19.0
2017-05-27,63.0
2017-05-28,100.0
2017-05-29,57.0
2017-05-30,34.0
2017-05-31,28.0
2017-06-01,20.0
2017-06-02,24.0
2017-06-03,18.0
