date,president obama russia
2017-04-07,9.342412451361866
2017-04-08,5.33852140077821
2017-04-09,7.054474708171206
2017-04-10,3.0505836575875485
2017-04-11,3.0505836575875485
2017-04-12,4.575875486381323
2017-04-13,6.291828793774319
2017-04-14,3.431906614785992
2017-04-15,0.0
2017-04-16,3.6225680933852136
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,3.0505836575875485
2017-04-21,12.583657587548638
2017-04-22,13.91828793774319
2017-04-23,6.863813229571984
2017-04-24,3.0505836575875485
2017-04-25,4.385214007782101
2017-04-26,2.8599221789883265
2017-04-27,3.0505836575875485
2017-04-28,3.0505836575875485
2017-04-29,3.431906614785992
2017-04-30,3.6225680933852136
2017-05-01,3.2412451361867705
2017-05-02,3.0505836575875485
2017-05-03,2.8599221789883265
2017-05-04,2.8599221789883265
2017-05-05,6.101167315175097
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,3.0505836575875485
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,3.431906614785992
2017-05-14,0.0
2017-05-15,3.0505836575875485
2017-05-16,3.0505836575875485
2017-05-17,5.910505836575875
2017-05-18,3.0505836575875485
2017-05-19,3.0505836575875485
2017-05-20,0.0
2017-05-21,7.054474708171206
2017-05-22,3.0505836575875485
2017-05-23,2.8599221789883265
2017-05-24,3.0505836575875485
2017-05-25,0.0
2017-05-26,6.482490272373541
2017-05-27,7.245136186770427
2017-05-28,3.6225680933852136
2017-05-29,3.0505836575875485
2017-05-30,12.011673151750973
2017-05-31,4.575875486381323
2017-06-01,3.0505836575875485
2017-06-02,3.2412451361867705
2017-06-03,3.6225680933852136
