date,trump comey
2016-11-04,1.844097995545657
2016-11-05,0.9220489977728284
2016-11-06,4.302895322939866
2016-11-07,4.917594654788418
2016-11-08,1.1269487750556793
2016-11-09,4.097995545657016
2016-11-10,1.844097995545657
2016-11-11,1.33184855233853
2016-11-12,1.6391982182628062
2016-11-13,1.9465478841870825
2016-11-14,1.2293986636971046
2016-11-15,0.6146993318485523
2016-11-16,0.40979955456570155
2016-11-17,0.30734966592427615
2016-11-18,0.512249443207127
2016-11-19,0.30734966592427615
2016-11-20,0.30734966592427615
2016-11-21,0.30734966592427615
2016-11-22,0.20489977728285078
2016-11-23,0.20489977728285078
2016-11-24,0.20489977728285078
2016-11-25,0.0
2016-11-26,0.10244988864142539
2016-11-27,0.10244988864142539
2016-11-28,0.10244988864142539
2016-11-29,0.10244988864142539
2016-11-30,0.10244988864142539
2016-12-01,0.10244988864142539
2016-12-02,0.20489977728285078
2016-12-03,0.10244988864142539
2016-12-04,0.0
2016-12-05,0.10244988864142539
2016-12-06,0.0
2016-12-07,0.10244988864142539
2016-12-08,0.10244988864142539
2016-12-09,0.10244988864142539
2016-12-10,0.30734966592427615
2016-12-11,0.30734966592427615
2016-12-12,0.40979955456570155
2016-12-13,0.20489977728285078
2016-12-14,0.20489977728285078
2016-12-15,0.40979955456570155
2016-12-16,0.512249443207127
2016-12-17,0.30734966592427615
2016-12-18,0.10244988864142539
2016-12-19,0.10244988864142539
2016-12-20,0.20489977728285078
2016-12-21,0.20489977728285078
2016-12-22,0.10244988864142539
2016-12-23,0.10244988864142539
2016-12-24,0.10244988864142539
2016-12-25,0.10244988864142539
2016-12-26,0.10244988864142539
2016-12-27,0.0
2016-12-28,0.10244988864142539
2016-12-29,0.10244988864142539
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.10244988864142539
2017-01-02,0.0
2017-01-03,0.10244988864142539
2017-01-04,0.0
2017-01-05,0.10244988864142539
2017-01-06,0.10244988864142539
2017-01-07,0.10244988864142539
2017-01-08,0.10244988864142539
2017-01-09,0.10244988864142539
2017-01-10,0.10244988864142539
2017-01-11,1.2293986636971046
2017-01-12,0.7171492204899778
2017-01-13,1.33184855233853
2017-01-14,1.9465478841870825
2017-01-15,0.6146993318485523
2017-01-16,0.30734966592427615
2017-01-17,0.30734966592427615
2017-01-18,0.10244988864142539
2017-01-19,0.20489977728285078
2017-01-20,0.20489977728285078
2017-01-21,0.20489977728285078
2017-01-22,0.8195991091314031
2017-01-23,1.5367483296213809
