date,donald trump seizure
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,12.813844474410843
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,12.1731522506903
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,11.148044692737434
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,11.148044692737434
2017-05-17,0.0
2017-05-18,11.148044692737434
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,11.276183137481542
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,11.660598471713866
2017-05-26,12.30129069543441
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,11.40432158222565
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
