date,terrorism
2016-11-03,26.977946768060832
2016-11-04,24.77566539923954
2016-11-05,19.82053231939163
2016-11-06,21.472243346007602
2016-11-07,26.42737642585551
2016-11-08,23.674524714828895
2016-11-09,25.32623574144486
2016-11-10,24.225095057034217
2016-11-11,20.371102661596957
2016-11-12,14.865399239543725
2016-11-13,18.719391634980987
2016-11-14,24.225095057034217
2016-11-15,22.57338403041825
2016-11-16,24.225095057034217
2016-11-17,23.674524714828895
2016-11-18,23.674524714828895
2016-11-19,16.517110266159694
2016-11-20,20.371102661596957
2016-11-21,22.022813688212924
2016-11-22,20.92167300380228
2016-11-23,20.92167300380228
2016-11-24,17.61825095057034
2016-11-25,16.517110266159694
2016-11-26,15.415969581749048
2016-11-27,17.06768060836502
2016-11-28,24.225095057034217
