date,hillary intelligence
2016-07-13,4.358353510895884
2016-07-14,4.358353510895884
2016-07-15,9.152542372881356
2016-07-16,5.23002421307506
2016-07-17,5.23002421307506
2016-07-18,4.358353510895884
2016-07-19,4.358353510895884
2016-07-20,9.152542372881356
2016-07-21,0.0
2016-07-22,11.767554479418886
2016-07-23,13.51089588377724
2016-07-24,10.46004842615012
2016-07-25,8.716707021791768
2016-07-26,15.690072639225182
2016-07-27,6.5375302663438255
2016-07-28,11.331719128329297
2016-07-29,11.767554479418886
2016-07-30,16.12590799031477
2016-07-31,5.23002421307506
2016-08-01,20.048426150121067
2016-08-02,6.973365617433414
2016-08-03,4.358353510895884
2016-08-04,4.358353510895884
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,4.358353510895884
2016-08-09,4.358353510895884
2016-08-10,9.152542372881356
2016-08-11,0.0
2016-08-12,6.973365617433414
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,4.7941888619854724
2016-08-16,6.5375302663438255
2016-08-17,13.51089588377724
2016-08-18,4.358353510895884
2016-08-19,4.7941888619854724
2016-08-20,0.0
2016-08-21,5.23002421307506
2016-08-22,4.358353510895884
2016-08-23,4.358353510895884
2016-08-24,4.358353510895884
2016-08-25,9.152542372881356
2016-08-26,4.7941888619854724
2016-08-27,0.0
2016-08-28,5.23002421307506
2016-08-29,4.358353510895884
2016-08-30,0.0
2016-08-31,4.358353510895884
2016-09-01,8.716707021791768
2016-09-02,9.152542372881356
2016-09-03,5.23002421307506
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,4.358353510895884
2016-09-07,4.358353510895884
2016-09-08,8.716707021791768
2016-09-09,9.152542372881356
2016-09-10,10.024213075060533
2016-09-11,7.4092009685230025
2016-09-12,4.358353510895884
2016-09-13,10.895883777239709
2016-09-14,4.358353510895884
2016-09-15,4.358353510895884
2016-09-16,4.358353510895884
2016-09-17,10.024213075060533
2016-09-18,10.024213075060533
2016-09-19,4.358353510895884
2016-09-20,4.358353510895884
2016-09-21,4.358353510895884
2016-09-22,8.716707021791768
2016-09-23,4.358353510895884
2016-09-24,4.7941888619854724
2016-09-25,4.7941888619854724
2016-09-26,4.358353510895884
2016-09-27,18.7409200968523
2016-09-28,4.358353510895884
2016-09-29,6.5375302663438255
2016-09-30,9.152542372881356
2016-10-01,4.897094430992736
2016-10-02,4.7941888619854724
2016-10-03,7.0508474576271185
2016-10-04,4.179176755447942
2016-10-05,6.179176755447942
2016-10-06,0.0
2016-10-07,8.537530266343826
2016-10-08,2.3970944309927362
2016-10-09,16.909200968523002
2016-10-10,18.498789346246973
2016-10-11,6.14043583535109
2016-10-12,16.537530266343826
2016-10-13,12.498789346246973
2016-10-14,6.179176755447942
2016-10-15,2.3970944309927362
2016-10-16,4.897094430992736
2016-10-17,4.179176755447942
2016-10-18,14.73002421307506
2016-10-19,5.0508474576271185
2016-10-20,39.29176755447942
2016-10-21,17.627118644067796
2016-10-22,18.588377723970943
2016-10-23,17.101694915254235
2016-10-24,6.14043583535109
2016-10-25,6.14043583535109
2016-10-26,10.101694915254237
2016-10-27,5.0508474576271185
2016-10-28,16.71670702179177
2016-10-29,2.3970944309927362
2016-10-30,31.792978208232448
2016-10-31,27.588377723970943
2016-11-01,15.409200968523002
2016-11-02,16.0
2016-11-03,8.0
2016-11-04,16.0
2016-11-05,4.0
2016-11-06,40.0
