date,trump pneumonia
2017-05-21,0.8597406087440576
2017-05-22,1.0620325166838358
2017-05-23,1.0620325166838358
2017-05-24,1.0873190051763082
2017-05-25,0.7585946547741684
2017-05-26,0.7838811432666407
2017-05-27,0.0
2017-05-28,0.8597406087440576
2017-05-29,0.0
2017-05-30,0.7333081662816961
2017-05-31,1.0873190051763082
2017-06-01,1.1126054936687804
2017-06-02,0.0
2017-06-03,0.0
