date,trump impeachment
2016-11-02,0.6611570247933884
2016-11-03,0.3305785123966942
2016-11-04,0.6611570247933884
2016-11-05,0.3305785123966942
2016-11-06,0.3305785123966942
2016-11-07,0.3305785123966942
2016-11-08,0.6611570247933884
2016-11-09,15.206611570247935
2016-11-10,11.239669421487603
2016-11-11,7.933884297520661
2016-11-12,8.925619834710744
2016-11-13,5.619834710743802
2016-11-14,2.975206611570248
2016-11-15,2.644628099173554
2016-11-16,4.958677685950414
2016-11-17,3.6363636363636367
2016-11-18,1.9834710743801653
2016-11-19,2.31404958677686
2016-11-20,2.31404958677686
2016-11-21,1.9834710743801653
2016-11-22,2.31404958677686
2016-11-23,1.322314049586777
2016-11-24,0.9917355371900827
2016-11-25,0.6611570247933884
2016-11-26,0.6611570247933884
2016-11-27,0.6611570247933884
2016-11-28,0.9917355371900827
2016-11-29,0.9917355371900827
2016-11-30,0.6611570247933884
2016-12-01,0.6611570247933884
2016-12-02,0.6611570247933884
2016-12-03,0.6611570247933884
2016-12-04,0.6611570247933884
2016-12-05,0.6611570247933884
2016-12-06,0.6611570247933884
2016-12-07,0.6611570247933884
2016-12-08,0.9917355371900827
2016-12-09,0.9917355371900827
2016-12-10,0.9917355371900827
2016-12-11,0.9917355371900827
2016-12-12,1.322314049586777
2016-12-13,1.322314049586777
2016-12-14,0.9917355371900827
2016-12-15,0.9917355371900827
2016-12-16,1.322314049586777
2016-12-17,0.9917355371900827
2016-12-18,0.9917355371900827
2016-12-19,0.9917355371900827
2016-12-20,1.322314049586777
2016-12-21,0.9917355371900827
2016-12-22,0.9917355371900827
2016-12-23,0.9917355371900827
2016-12-24,0.9917355371900827
2016-12-25,0.6611570247933884
2016-12-26,0.3305785123966942
2016-12-27,0.6611570247933884
2016-12-28,0.9917355371900827
2016-12-29,0.6611570247933884
2016-12-30,0.9917355371900827
2016-12-31,0.9917355371900827
2017-01-01,0.9917355371900827
2017-01-02,0.9917355371900827
2017-01-03,0.6611570247933884
2017-01-04,0.9917355371900827
2017-01-05,0.9917355371900827
2017-01-06,1.322314049586777
2017-01-07,1.6528925619834711
2017-01-08,1.6528925619834711
2017-01-09,0.9917355371900827
2017-01-10,0.9917355371900827
2017-01-11,5.619834710743802
2017-01-12,5.289256198347108
2017-01-13,3.6363636363636367
2017-01-14,4.297520661157025
2017-01-15,3.3057851239669422
2017-01-16,3.3057851239669422
2017-01-17,3.3057851239669422
2017-01-18,3.9669421487603307
2017-01-19,3.9669421487603307
2017-01-20,9.25619834710744
2017-01-21,9.917355371900827
2017-01-22,16.528925619834713
2017-01-23,7.272727272727273
2017-01-24,4.958677685950414
2017-01-25,5.950413223140496
2017-01-26,7.933884297520661
2017-01-27,5.619834710743802
2017-01-28,8.264462809917356
2017-01-29,20.49586776859504
2017-01-30,25.454545454545457
2017-01-31,33.057851239669425
2017-02-01,11.570247933884298
2017-02-02,9.586776859504132
2017-02-03,7.603305785123967
2017-02-04,10.578512396694215
2017-02-05,8.59504132231405
2017-02-06,7.933884297520661
2017-02-07,11.570247933884298
2017-02-08,7.272727272727273
2017-02-09,9.586776859504132
2017-02-10,16.198347107438018
2017-02-11,9.586776859504132
2017-02-12,6.6115702479338845
2017-02-13,5.619834710743802
2017-02-14,10.24793388429752
2017-02-15,24.793388429752067
2017-02-16,21.15702479338843
2017-02-17,14.87603305785124
2017-02-18,12.231404958677686
2017-02-19,9.25619834710744
2017-02-20,6.9421487603305785
2017-02-21,5.619834710743802
2017-02-22,5.950413223140496
2017-02-23,7.603305785123967
2017-02-24,6.6115702479338845
2017-02-25,7.272727272727273
2017-02-26,5.619834710743802
2017-02-27,4.62809917355372
2017-02-28,4.297520661157025
2017-03-01,2.15702479338843
2017-03-02,2.987603305785124
2017-03-03,3.9834710743801653
2017-03-04,4.148760330578512
2017-03-05,4.81404958677686
2017-03-06,5.479338842975206
2017-03-07,4.979338842975206
2017-03-08,4.979338842975206
2017-03-09,3.8181818181818183
2017-03-10,4.979338842975206
2017-03-11,3.9834710743801653
2017-03-12,2.987603305785124
2017-03-13,3.152892561983471
2017-03-14,1.9917355371900827
2017-03-15,2.822314049586777
2017-03-16,3.152892561983471
2017-03-17,3.3181818181818183
2017-03-18,3.9834710743801653
2017-03-19,3.3181818181818183
2017-03-20,6.971074380165289
2017-03-21,12.615702479338843
2017-03-22,14.107438016528926
2017-03-23,10.954545454545455
2017-03-24,5.475206611570248
2017-03-25,5.309917355371901
2017-03-26,4.81404958677686
2017-03-27,3.9834710743801653
2017-03-28,4.148760330578512
2017-03-29,4.148760330578512
2017-03-30,3.8181818181818183
2017-03-31,6.640495867768595
2017-04-01,5.975206611570248
2017-04-02,7.0
2017-04-03,5.0
2017-04-04,5.0
2017-04-05,4.0
2017-04-06,4.0
2017-04-07,4.0
2017-04-08,2.0
2017-04-09,3.0
2017-04-10,2.0
2017-04-11,2.0
2017-04-12,2.0
2017-04-13,3.0
2017-04-14,3.0
2017-04-15,3.0
2017-04-16,3.0
2017-04-17,2.0
2017-04-18,4.0
2017-04-19,3.0
2017-04-20,3.0
2017-04-21,3.0
2017-04-22,3.0
2017-04-23,2.0
2017-04-24,2.0
2017-04-25,2.0
2017-04-26,2.0
2017-04-27,2.0
2017-04-28,2.0
2017-04-29,2.0
2017-04-30,2.0
2017-05-01,3.0
2017-05-02,3.0
2017-05-03,2.0
2017-05-04,2.0
2017-05-05,3.0
2017-05-06,2.0
2017-05-07,3.0
2017-05-08,3.0
2017-05-09,5.0
2017-05-10,15.0
2017-05-11,16.0
2017-05-12,15.0
2017-05-13,14.0
2017-05-14,13.0
2017-05-15,13.0
2017-05-16,31.0
2017-05-17,100.0
2017-05-18,87.0
2017-05-19,44.0
2017-05-20,39.0
2017-05-21,26.0
2017-05-22,16.0
2017-05-23,10.0
2017-05-24,9.0
2017-05-25,7.0
2017-05-26,7.0
2017-05-27,7.0
2017-05-28,6.0
2017-05-29,5.0
2017-05-30,5.0
2017-05-31,6.0
2017-06-01,7.0
2017-06-02,7.0
2017-06-03,5.0
