date,obama nazi
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,5.1867967680544895
2017-03-28,10.011644018563654
2017-03-29,2.3075356415478616
2017-03-30,5.396572735467931
2017-03-31,5.5659410370271445
2017-04-01,6.324229574972455
2017-04-02,13.54946412473707
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,5.758522253013256
2017-04-06,0.0
2017-04-07,9.145888284197524
2017-04-08,6.774732062368535
2017-04-09,7.1134686654869625
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,6.097258856131682
2017-04-13,6.097258856131682
2017-04-14,6.774732062368535
2017-04-15,0.0
2017-04-16,7.1134686654869625
2017-04-17,12.194517712263364
2017-04-18,11.517044506026512
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,6.097258856131682
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,17.275566759039766
2017-04-25,11.517044506026512
2017-04-26,5.758522253013256
2017-04-27,0.0
2017-04-28,9.145888284197524
2017-04-29,0.0
2017-04-30,6.774732062368535
2017-05-01,0.0
2017-05-02,11.517044506026512
2017-05-03,0.0
2017-05-04,5.758522253013256
2017-05-05,0.0
2017-05-06,6.774732062368535
2017-05-07,0.0
2017-05-08,5.758522253013256
2017-05-09,0.0
2017-05-10,5.758522253013256
2017-05-11,11.517044506026512
2017-05-12,6.097258856131682
2017-05-13,6.774732062368535
2017-05-14,7.1134686654869625
2017-05-15,0.0
2017-05-16,5.758522253013256
2017-05-17,8.807151681079096
2017-05-18,5.758522253013256
2017-05-19,18.291776568395047
2017-05-20,6.774732062368535
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,5.758522253013256
2017-05-25,9.145888284197524
2017-05-26,6.435995459250109
2017-05-27,7.1134686654869625
2017-05-28,7.1134686654869625
2017-05-29,6.097258856131682
2017-05-30,6.097258856131682
2017-05-31,11.855781109144937
2017-06-01,6.097258856131682
2017-06-02,6.097258856131682
2017-06-03,7.1134686654869625
