date,trump benghazi
2016-10-30,9.0402635431918
2016-10-31,6.19619326500732
2016-11-01,11.37628111273792
2016-11-02,15.0
2016-11-03,22.0
2016-11-04,11.0
2016-11-05,20.0
2016-11-06,15.0
2016-11-07,22.0
2016-11-08,42.0
2016-11-09,100.0
2016-11-10,47.0
2016-11-11,24.0
2016-11-12,15.0
2016-11-13,11.0
2016-11-14,9.0
2016-11-15,5.0
2016-11-16,7.0
2016-11-17,3.0
2016-11-18,3.0
2016-11-19,6.0
2016-11-20,5.0
2016-11-21,4.0
2016-11-22,2.0
2016-11-23,3.0
2016-11-24,5.0
2016-11-25,1.0
2016-11-26,2.0
2016-11-27,1.0
2016-11-28,2.0
2016-11-29,2.0
2016-11-30,1.0
2016-12-01,0.0
2016-12-02,1.0
2016-12-03,3.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,1.0
2016-12-08,2.0
2016-12-09,1.0
2016-12-10,1.0
2016-12-11,4.0
2016-12-12,2.0
2016-12-13,3.0
2016-12-14,2.0
2016-12-15,2.0
2016-12-16,2.0
2016-12-17,1.0
2016-12-18,1.0
2016-12-19,2.0
2016-12-20,4.0
2016-12-21,1.0
2016-12-22,0.0
2016-12-23,1.0
2016-12-24,2.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,2.0
2016-12-30,1.0
2016-12-31,1.0
2017-01-01,2.0
2017-01-02,1.0
2017-01-03,2.0
2017-01-04,2.0
2017-01-05,3.0
2017-01-06,4.0
2017-01-07,2.0
2017-01-08,2.0
2017-01-09,2.0
2017-01-10,3.0
2017-01-11,5.0
2017-01-12,2.0
2017-01-13,2.0
2017-01-14,3.0
2017-01-15,2.0
2017-01-16,1.0
2017-01-17,2.0
2017-01-18,2.0
2017-01-19,3.0
2017-01-20,5.0
2017-01-21,7.0
2017-01-22,4.0
2017-01-23,4.0
2017-01-24,4.0
2017-01-25,2.0
2017-01-26,2.0
2017-01-27,2.0
2017-01-28,3.0
2017-01-29,3.0
2017-01-30,3.0
2017-01-31,1.0
2017-02-01,4.0
2017-02-02,8.0
2017-02-03,3.0
2017-02-04,3.0
2017-02-05,8.0
2017-02-06,2.0
2017-02-07,1.0
2017-02-08,1.0
2017-02-09,2.0
2017-02-10,2.0
2017-02-11,2.0
2017-02-12,3.0
2017-02-13,1.0
2017-02-14,5.0
2017-02-15,8.0
2017-02-16,3.0
2017-02-17,3.0
2017-02-18,1.0
2017-02-19,3.0
2017-02-20,2.0
2017-02-21,0.0
2017-02-22,1.0
2017-02-23,2.0
2017-02-24,2.0
2017-02-25,1.0
2017-02-26,3.0
2017-02-27,3.0
2017-02-28,2.0
2017-03-01,5.221712538226299
2017-03-02,3.6697247706422016
2017-03-03,4.327217125382263
2017-03-04,0.5
2017-03-05,1.091743119266055
2017-03-06,1.5519877675840978
2017-03-07,0.5
2017-03-08,2.051987767584098
2017-03-09,0.0
2017-03-10,2.117737003058104
2017-03-11,0.5
2017-03-12,1.1246177370030581
2017-03-13,1.025993883792049
2017-03-14,1.025993883792049
2017-03-15,1.025993883792049
2017-03-16,1.5848623853211008
2017-03-17,0.0
2017-03-18,0.5
2017-03-19,0.5
2017-03-20,1.525993883792049
2017-03-21,1.5848623853211008
2017-03-22,1.025993883792049
2017-03-23,1.025993883792049
2017-03-24,1.709480122324159
2017-03-25,2.1574923547400613
2017-03-26,1.6246177370030581
2017-03-27,1.025993883792049
2017-03-28,0.5
2017-03-29,1.0
2017-03-30,0.0
2017-03-31,1.5
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,3.2874617737003056
2017-04-04,4.40519877675841
2017-04-05,2.235474006116208
2017-04-06,0.0
2017-04-07,1.117737003058104
2017-04-08,2.5642201834862384
2017-04-09,2.6299694189602447
2017-04-10,0.0
2017-04-11,1.117737003058104
2017-04-12,2.235474006116208
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,2.6957186544342506
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,3.2217125382262997
2017-04-20,2.235474006116208
2017-04-21,0.0
2017-04-22,1.3149847094801224
2017-04-23,2.4984709480122325
2017-04-24,1.117737003058104
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,1.117737003058104
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,2.1697247706422016
2017-05-05,1.117737003058104
2017-05-06,1.3149847094801224
2017-05-07,1.2492354740061162
2017-05-08,2.1697247706422016
2017-05-09,2.1697247706422016
2017-05-10,6.574923547400611
2017-05-11,3.2874617737003056
2017-05-12,3.418960244648318
2017-05-13,1.3149847094801224
2017-05-14,1.3149847094801224
2017-05-15,0.0
2017-05-16,1.117737003058104
2017-05-17,4.40519877675841
2017-05-18,4.40519877675841
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,1.0519877675840978
2017-05-24,2.235474006116208
2017-05-25,3.484709480122324
2017-05-26,1.18348623853211
2017-05-27,0.0
2017-05-28,2.6957186544342506
2017-05-29,1.18348623853211
2017-05-30,1.117737003058104
2017-05-31,0.0
2017-06-01,3.353211009174312
2017-06-02,1.18348623853211
2017-06-03,2.6299694189602447
