date,hillary travel
2016-11-08,36.75
2016-11-09,79.8913043478261
2016-11-10,31.157608695652172
2016-11-11,17.57608695652174
2016-11-12,11.184782608695652
2016-11-13,18.375
2016-11-14,7.989130434782608
2016-11-15,14.380434782608695
2016-11-16,9.58695652173913
2016-11-17,11.983695652173912
2016-11-18,10.38586956521739
2016-11-19,11.184782608695652
2016-11-20,3.994565217391304
2016-11-21,4.793478260869565
2016-11-22,3.1956521739130435
2016-11-23,4.793478260869565
2016-11-24,4.793478260869565
2016-11-25,3.1956521739130435
2016-11-26,3.994565217391304
2016-11-27,7.190217391304348
2016-11-28,3.1956521739130435
2016-11-29,0.0
2016-11-30,6.391304347826087
2016-12-01,3.1956521739130435
2016-12-02,6.391304347826087
2016-12-03,3.994565217391304
2016-12-04,0.0
2016-12-05,0.0
