date,president obama golf
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,12.0
2017-05-27,27.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,11.0
2017-05-31,11.0
2017-06-01,0.0
2017-06-02,24.0
2017-06-03,13.0
