date,employment agency
2016-11-03,67.77884615384615
2016-11-04,55.191346153846155
2016-11-05,27.111538461538462
2016-11-06,41.635576923076925
2016-11-07,69.71538461538461
2016-11-08,71.65192307692307
2016-11-09,49.38173076923077
2016-11-10,57.127884615384616
2016-11-11,72.6201923076923
2016-11-12,36.794230769230765
2016-11-13,27.111538461538462
2016-11-14,69.71538461538461
2016-11-15,74.55673076923077
2016-11-16,82.30288461538463
2016-11-17,74.55673076923077
2016-11-18,46.47692307692308
2016-11-19,34.857692307692304
2016-11-20,22.27019230769231
2016-11-21,69.71538461538461
2016-11-22,62.9375
2016-11-23,65.84230769230768
2016-11-24,40.667307692307695
2016-11-25,33.88942307692307
2016-11-26,25.175
2016-11-27,39.699038461538464
2016-11-28,61.96923076923077
2016-11-29,53.254807692307686
